release_month,observation_month,cylinder_size_kg,geography_type,geography_name,geography_raw_label,state,zone,is_aggregate,refill_price_ngn,unit,source_period_label,is_primary_release,source_anomaly,source_banner_text,header_row_used,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-01-01,2024-01-01,5.0,STATE,Abia,Abia,Abia,South East,FALSE,5039.285714285715,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,27,2,B27
2025-01-01,2024-01-01,5.0,STATE,Abuja,Abuja,Abuja,North Central,FALSE,5080,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,4,2,B4
2025-01-01,2024-01-01,5.0,STATE,Adamawa,Adamawa,Adamawa,North East,FALSE,5000,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,12,2,B12
2025-01-01,2024-01-01,5.0,STATE,Akwa Ibom,Akwa Ibom,Akwa Ibom,South South,FALSE,5070,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,33,2,B33
2025-01-01,2024-01-01,5.0,STATE,Anambra,Anambra,Anambra,South East,FALSE,5366.666666666667,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,28,2,B28
2025-01-01,2024-01-01,5.0,STATE,Bauchi,Bauchi,Bauchi,North East,FALSE,5250,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,13,2,B13
2025-01-01,2024-01-01,5.0,STATE,Bayelsa,Bayelsa,Bayelsa,South South,FALSE,5270,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,34,2,B34
2025-01-01,2024-01-01,5.0,STATE,Benue,Benue,Benue,North Central,FALSE,5500,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,5,2,B5
2025-01-01,2024-01-01,5.0,STATE,Borno,Borno,Borno,North East,FALSE,5563.636363636364,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,14,2,B14
2025-01-01,2024-01-01,5.0,STATE,Cross River,Cross River,Cross River,South South,FALSE,5375,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,35,2,B35
2025-01-01,2024-01-01,5.0,STATE,Delta,Delta,Delta,South South,FALSE,5105,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,36,2,B36
2025-01-01,2024-01-01,5.0,STATE,Ebonyi,Ebonyi,Ebonyi,South East,FALSE,5125,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,29,2,B29
2025-01-01,2024-01-01,5.0,STATE,Edo,Edo,Edo,South South,FALSE,5264.285714285715,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,37,2,B37
2025-01-01,2024-01-01,5.0,STATE,Ekiti,Ekiti,Ekiti,South West,FALSE,4872.8928884986835,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,40,2,B40
2025-01-01,2024-01-01,5.0,STATE,Enugu,Enugu,Enugu,South East,FALSE,5027.5,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,30,2,B30
2025-01-01,2024-01-01,5.0,STATE,Gombe,Gombe,Gombe,North East,FALSE,5660,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,15,2,B15
2025-01-01,2024-01-01,5.0,STATE,Imo,Imo,Imo,South East,FALSE,5085.714285714285,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,31,2,B31
2025-01-01,2024-01-01,5.0,STATE,Jigawa,Jigawa,Jigawa,North West,FALSE,5681.818181818182,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,19,2,B19
2025-01-01,2024-01-01,5.0,STATE,Kaduna,Kaduna,Kaduna,North West,FALSE,4150,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,20,2,B20
2025-01-01,2024-01-01,5.0,STATE,Kano,Kano,Kano,North West,FALSE,5411.111111111111,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,21,2,B21
