release_month,observation_month,geography_type,geography_name,geography_raw_label,state,zone,is_aggregate,price_ngn_per_litre,unit,source_period_label,is_primary_release,source_anomaly,header_row_used,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-01-01,2024-01-01,STATE,Abia,Abia,Abia,South East,FALSE,1171.08675799087,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,26,2,B26
2025-01-01,2024-01-01,STATE,Abuja,Abuja,Abuja,North Central,FALSE,1226.7,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,3,2,B3
2025-01-01,2024-01-01,STATE,Adamawa,Adamawa,Adamawa,North East,FALSE,1100,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,11,2,B11
2025-01-01,2024-01-01,STATE,Akwa Ibom,Akwa Ibom,Akwa Ibom,South South,FALSE,1123,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,32,2,B32
2025-01-01,2024-01-01,STATE,Anambra,Anambra,Anambra,South East,FALSE,1186.66666666667,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,27,2,B27
2025-01-01,2024-01-01,STATE,Bauchi,Bauchi,Bauchi,North East,FALSE,1050,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,12,2,B12
2025-01-01,2024-01-01,STATE,Bayelsa,Bayelsa,Bayelsa,South South,FALSE,1154,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,33,2,B33
2025-01-01,2024-01-01,STATE,Benue,Benue,Benue,North Central,FALSE,1183.88888888889,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,4,2,B4
2025-01-01,2024-01-01,STATE,Borno,Borno,Borno,North East,FALSE,927.272727272727,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,13,2,B13
2025-01-01,2024-01-01,STATE,Cross River,Cross River,Cross River,South South,FALSE,1154.28571428571,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,34,2,B34
2025-01-01,2024-01-01,STATE,Delta,Delta,Delta,South South,FALSE,1091.42857142857,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,35,2,B35
2025-01-01,2024-01-01,STATE,Ebonyi,Ebonyi,Ebonyi,South East,FALSE,1158.33333333333,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,28,2,B28
2025-01-01,2024-01-01,STATE,Edo,Edo,Edo,South South,FALSE,1210,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,36,2,B36
2025-01-01,2024-01-01,STATE,Ekiti,Ekiti,Ekiti,South West,FALSE,1204.07534246575,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,39,2,B39
2025-01-01,2024-01-01,STATE,Enugu,Enugu,Enugu,South East,FALSE,1194.44444444444,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,29,2,B29
2025-01-01,2024-01-01,STATE,Gombe,Gombe,Gombe,North East,FALSE,1200,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,14,2,B14
2025-01-01,2024-01-01,STATE,Imo,Imo,Imo,South East,FALSE,1179.7619047619,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,30,2,B30
2025-01-01,2024-01-01,STATE,Jigawa,Jigawa,Jigawa,North West,FALSE,1193.63636363636,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,18,2,B18
2025-01-01,2024-01-01,STATE,Kaduna,Kaduna,Kaduna,North West,FALSE,1100,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,19,2,B19
2025-01-01,2024-01-01,STATE,Kano,Kano,Kano,North West,FALSE,940.888888888889,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,20,2,B20
2025-01-01,2024-01-01,STATE,Katsina,Katsina,Katsina,North West,FALSE,1066.66666666667,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,21,2,B21
2025-01-01,2024-01-01,STATE,Kebbi,Kebbi,Kebbi,North West,FALSE,1433.33313333333,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,22,2,B22
2025-01-01,2024-01-01,STATE,Kogi,Kogi,Kogi,North Central,FALSE,1300,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,5,2,B5
2025-01-01,2024-01-01,STATE,Kwara,Kwara,Kwara,North Central,FALSE,1134.70634920635,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,6,2,B6
2025-01-01,2024-01-01,STATE,Lagos,Lagos,Lagos,South West,FALSE,1199.79452054795,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,40,2,B40
2025-01-01,2024-01-01,STATE,Nasarawa,Nassarawa,Nasarawa,North Central,FALSE,1146,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,7,2,B7
2025-01-01,2024-01-01,STATE,Niger,Niger,Niger,North Central,FALSE,1217.79333333333,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,8,2,B8
2025-01-01,2024-01-01,STATE,Ogun,Ogun,Ogun,South West,FALSE,1182.30593607306,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,41,2,B41
2025-01-01,2024-01-01,STATE,Ondo,Ondo,Ondo,South West,FALSE,1172.51467710372,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,42,2,B42
2025-01-01,2024-01-01,STATE,Osun,Osun,Osun,South West,FALSE,1174.93911719939,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,43,2,B43
2025-01-01,2024-01-01,STATE,Oyo,Oyo,Oyo,South West,FALSE,1173.6195995785,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,44,2,B44
2025-01-01,2024-01-01,STATE,Plateau,Plateau,Plateau,North Central,FALSE,1226.69,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,9,2,B9
2025-01-01,2024-01-01,STATE,Rivers,Rivers,Rivers,South South,FALSE,1008.88888888889,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,37,2,B37
2025-01-01,2024-01-01,STATE,Sokoto,Sokoto,Sokoto,North West,FALSE,1125,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,23,2,B23
2025-01-01,2024-01-01,STATE,Taraba,Taraba,Taraba,North East,FALSE,988.333333333333,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,15,2,B15
2025-01-01,2024-01-01,STATE,Yobe,Yobe,Yobe,North East,FALSE,1178.57142857143,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,16,2,B16
2025-01-01,2024-01-01,STATE,Zamfara,Zamfara,Zamfara,North West,FALSE,1182.595,NGN per litre,2024-01-14,FALSE,,1,AGO_JAN_2025.xlsx,,DIESEL JANUARY 2025 ,24,2,B24
