observation_month,release_month,item_code,item_label,item_label_raw,unit,unit_source,extreme_type,geography_type,state,state_raw_label,zone,price_ngn,is_shared_extreme,raw_callout_text,observation_month_basis,source_anomaly,header_row_used,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-10-01,2025-10-01,EGG_AGRIC,"Agric hen eggs,","Agric hen eggs,",,,HIGHEST,STATE,Enugu,Enugu,South East,300,FALSE,Enugu (300),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,2,7,G2
2025-10-01,2025-10-01,EGG_AGRIC,"Agric hen eggs,","Agric hen eggs,",,,LOWEST,STATE,Gombe,Gombe,North East,229.44,FALSE,Gombe (229.44),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,2,8,H2
2025-10-01,2025-10-01,EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1 crate of 30 pieces,SPREADSHEET_LABEL,HIGHEST,STATE,Enugu,Enugu,South East,6598.44,FALSE,Enugu (6598.44),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,3,7,G3
2025-10-01,2025-10-01,EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1 crate of 30 pieces,SPREADSHEET_LABEL,LOWEST,STATE,Niger,Niger,North Central,5301.37,FALSE,Niger (5301.37),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,3,8,H3
2025-10-01,2025-10-01,BEANS_BROWN,Beans Brown,Beans Brown,1 kg,NBS_REPORT_PDF,HIGHEST,STATE,Imo,Imo,South East,2174.09,FALSE,Imo (2174.09),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,4,7,G4
2025-10-01,2025-10-01,BEANS_BROWN,Beans Brown,Beans Brown,1 kg,NBS_REPORT_PDF,LOWEST,STATE,Yobe,Yobe,North East,1263.68,FALSE,Yobe (1263.68),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,4,8,H4
2025-10-01,2025-10-01,BEANS_WHITE,Beans white,Beans white,,,HIGHEST,STATE,Enugu,Enugu,South East,2100.93,FALSE,Enugu (2100.93),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,5,7,G5
2025-10-01,2025-10-01,BEANS_WHITE,Beans white,Beans white,,,LOWEST,STATE,Jigawa,Jigawa,North West,1107.64,FALSE,Jigawa (1107.64),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,5,8,H5
2025-10-01,2025-10-01,BEEF_BONELESS,Beef Boneless,Beef Boneless,1 kg,NBS_REPORT_PDF,HIGHEST,STATE,Abia,Abia,South East,8984.43,FALSE,Abia (8984.43),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,6,7,G6
2025-10-01,2025-10-01,BEEF_BONELESS,Beef Boneless,Beef Boneless,1 kg,NBS_REPORT_PDF,LOWEST,STATE,Benue,Benue,North Central,5419.03,FALSE,Benue (5419.03),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,6,8,H6
