observation_month,release_month,item_code,item_label,item_label_raw,unit,unit_source,geography_type,geography_name,avg_price_ngn,value_status,period_position,source_period_label,is_primary_release,source_anomaly,header_row_used,header_label_raw,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2024-10-01,2025-10-01,EGG_AGRIC,"Agric hen eggs,","Agric hen eggs,",,,NATIONAL,Nigeria,235.67349814172533,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,2,2,B2
2025-09-01,2025-10-01,EGG_AGRIC,"Agric hen eggs,","Agric hen eggs,",,,NATIONAL,Nigeria,248.215446160356,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,2,3,C2
2025-10-01,2025-10-01,EGG_AGRIC,"Agric hen eggs,","Agric hen eggs,",,,NATIONAL,Nigeria,252.79055205869216,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,2,4,D2
2024-10-01,2025-10-01,EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1 crate of 30 pieces,SPREADSHEET_LABEL,NATIONAL,Nigeria,,NOT_REPORTED,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,3,2,B3
2025-09-01,2025-10-01,EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1 crate of 30 pieces,SPREADSHEET_LABEL,NATIONAL,Nigeria,5897.874998021113,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,3,3,C3
2025-10-01,2025-10-01,EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1 crate of 30 pieces,SPREADSHEET_LABEL,NATIONAL,Nigeria,5993.009131680979,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,3,4,D3
2024-10-01,2025-10-01,BEANS_BROWN,Beans Brown,Beans Brown,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,2798.4962083299024,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,4,2,B4
2025-09-01,2025-10-01,BEANS_BROWN,Beans Brown,Beans Brown,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1815.7590283673646,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,4,3,C4
2025-10-01,2025-10-01,BEANS_BROWN,Beans Brown,Beans Brown,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1760.52769721203,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,4,4,D4
2024-10-01,2025-10-01,BEANS_WHITE,Beans white,Beans white,,,NATIONAL,Nigeria,2603.318029115321,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,5,2,B5
