observation_month,release_month,item_code,item_label,item_label_raw,unit,unit_source,geography_type,zone,zone_raw_label,avg_price_ngn,value_status,observation_month_basis,source_anomaly,header_row_used,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-10-01,2025-10-01,EGG_AGRIC,"Agric hen eggs,","Agric hen eggs,",,,ZONE,North Central,NORTH CENTRAL,245.6897219066734,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,2,2,B2
2025-10-01,2025-10-01,EGG_AGRIC,"Agric hen eggs,","Agric hen eggs,",,,ZONE,North East,NORTH EAST,269.61710484994165,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,2,3,C2
2025-10-01,2025-10-01,EGG_AGRIC,"Agric hen eggs,","Agric hen eggs,",,,ZONE,North West,NORTH WEST,241.5941162494208,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,2,4,D2
2025-10-01,2025-10-01,EGG_AGRIC,"Agric hen eggs,","Agric hen eggs,",,,ZONE,South East,SOUTH EAST,271.6457979006226,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,2,5,E2
2025-10-01,2025-10-01,EGG_AGRIC,"Agric hen eggs,","Agric hen eggs,",,,ZONE,South South,SOUTH SOUTH,246.61326190476186,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,2,6,F2
2025-10-01,2025-10-01,EGG_AGRIC,"Agric hen eggs,","Agric hen eggs,",,,ZONE,South West,SOUTH WEST,247.7753948412698,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,2,7,G2
2025-10-01,2025-10-01,EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1 crate of 30 pieces,SPREADSHEET_LABEL,ZONE,North Central,NORTH CENTRAL,5841.318351510805,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,3,2,B3
2025-10-01,2025-10-01,EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1 crate of 30 pieces,SPREADSHEET_LABEL,ZONE,North East,NORTH EAST,6357.72447006073,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,3,3,C3
2025-10-01,2025-10-01,EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1 crate of 30 pieces,SPREADSHEET_LABEL,ZONE,North West,NORTH WEST,5654.03624104091,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,3,4,D3
2025-10-01,2025-10-01,EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1 crate of 30 pieces,SPREADSHEET_LABEL,ZONE,South East,SOUTH EAST,6453.216370079694,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,3,5,E3
2025-10-01,2025-10-01,EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1 crate of 30 pieces,SPREADSHEET_LABEL,ZONE,South South,SOUTH SOUTH,5896.866762896825,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,3,6,F3
2025-10-01,2025-10-01,EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1 crate of 30 pieces,SPREADSHEET_LABEL,ZONE,South West,SOUTH WEST,5913.371079365079,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,3,7,G3
2025-10-01,2025-10-01,BEANS_BROWN,Beans Brown,Beans Brown,1 kg,NBS_REPORT_PDF,ZONE,North Central,NORTH CENTRAL,1627.5932078020353,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,4,2,B4
2025-10-01,2025-10-01,BEANS_BROWN,Beans Brown,Beans Brown,1 kg,NBS_REPORT_PDF,ZONE,North East,NORTH EAST,1543.664035816445,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,4,3,C4
2025-10-01,2025-10-01,BEANS_BROWN,Beans Brown,Beans Brown,1 kg,NBS_REPORT_PDF,ZONE,North West,NORTH WEST,1349.2250491235013,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,4,4,D4
2025-10-01,2025-10-01,BEANS_BROWN,Beans Brown,Beans Brown,1 kg,NBS_REPORT_PDF,ZONE,South East,SOUTH EAST,2105.9434597641384,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,4,5,E4
2025-10-01,2025-10-01,BEANS_BROWN,Beans Brown,Beans Brown,1 kg,NBS_REPORT_PDF,ZONE,South South,SOUTH SOUTH,2003.6901171530883,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,4,6,F4
2025-10-01,2025-10-01,BEANS_BROWN,Beans Brown,Beans Brown,1 kg,NBS_REPORT_PDF,ZONE,South West,SOUTH WEST,2081.3257969547467,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,4,7,G4
2025-10-01,2025-10-01,BEANS_WHITE,Beans white,Beans white,,,ZONE,North Central,NORTH CENTRAL,1552.353483259108,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,5,2,B5
2025-10-01,2025-10-01,BEANS_WHITE,Beans white,Beans white,,,ZONE,North East,NORTH EAST,1365.5897869112825,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,5,3,C5
2025-10-01,2025-10-01,BEANS_WHITE,Beans white,Beans white,,,ZONE,North West,NORTH WEST,1190.938912164703,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,5,4,D5
2025-10-01,2025-10-01,BEANS_WHITE,Beans white,Beans white,,,ZONE,South East,SOUTH EAST,1991.9063609714121,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,5,5,E5
2025-10-01,2025-10-01,BEANS_WHITE,Beans white,Beans white,,,ZONE,South South,SOUTH SOUTH,1865.8105379349647,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,5,6,F5
2025-10-01,2025-10-01,BEANS_WHITE,Beans white,Beans white,,,ZONE,South West,SOUTH WEST,1699.7105188367004,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,5,7,G5
2025-10-01,2025-10-01,BEEF_BONELESS,Beef Boneless,Beef Boneless,1 kg,NBS_REPORT_PDF,ZONE,North Central,NORTH CENTRAL,6406.999370515391,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,6,2,B6
2025-10-01,2025-10-01,BEEF_BONELESS,Beef Boneless,Beef Boneless,1 kg,NBS_REPORT_PDF,ZONE,North East,NORTH EAST,7316.576199862892,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,6,3,C6
2025-10-01,2025-10-01,BEEF_BONELESS,Beef Boneless,Beef Boneless,1 kg,NBS_REPORT_PDF,ZONE,North West,NORTH WEST,5850.436023627393,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,6,4,D6
2025-10-01,2025-10-01,BEEF_BONELESS,Beef Boneless,Beef Boneless,1 kg,NBS_REPORT_PDF,ZONE,South East,SOUTH EAST,8364.946043248568,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,6,5,E6
2025-10-01,2025-10-01,BEEF_BONELESS,Beef Boneless,Beef Boneless,1 kg,NBS_REPORT_PDF,ZONE,South South,SOUTH SOUTH,7126.94281888595,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,6,6,F6
2025-10-01,2025-10-01,BEEF_BONELESS,Beef Boneless,Beef Boneless,1 kg,NBS_REPORT_PDF,ZONE,South West,SOUTH WEST,6530.160949825527,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,6,7,G6
2025-10-01,2025-10-01,BREAD_SLICED_450G,"Bread (sliced), 450g","Bread (sliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,North Central,NORTH CENTRAL,1762.021238496684,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,7,2,B7
2025-10-01,2025-10-01,BREAD_SLICED_450G,"Bread (sliced), 450g","Bread (sliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,North East,NORTH EAST,1486.8497233179185,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,7,3,C7
2025-10-01,2025-10-01,BREAD_SLICED_450G,"Bread (sliced), 450g","Bread (sliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,North West,NORTH WEST,1702.2841667142857,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,7,4,D7
