release_month,observation_month,geography_type,geography_name,geography_raw_label,state,zone,is_aggregate,price_ngn_per_litre,unit,source_period_label,is_primary_release,source_anomaly,header_row_used,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-01-01,2024-01-01,STATE,Abia,Abia,Abia,South East,FALSE,687.5,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,2,2,B2
2025-01-01,2024-01-01,STATE,Abuja,Abuja,Abuja,North Central,FALSE,632.124444444444,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,3,2,B3
2025-01-01,2024-01-01,STATE,Adamawa,Adamawa,Adamawa,North East,FALSE,671.4,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,4,2,B4
2025-01-01,2024-01-01,STATE,Akwa Ibom,Akwa Ibom,Akwa Ibom,South South,FALSE,677,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,5,2,B5
2025-01-01,2024-01-01,STATE,Anambra,Anambra,Anambra,South East,FALSE,680,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,6,2,B6
2025-01-01,2024-01-01,STATE,Bauchi,Bauchi,Bauchi,North East,FALSE,650,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,7,2,B7
2025-01-01,2024-01-01,STATE,Bayelsa,Bayelsa,Bayelsa,South South,FALSE,673,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,8,2,B8
2025-01-01,2024-01-01,STATE,Benue,Benue,Benue,North Central,FALSE,632.844576719577,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,9,2,B9
2025-01-01,2024-01-01,STATE,Borno,Borno,Borno,North East,FALSE,657.272727272727,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,10,2,B10
2025-01-01,2024-01-01,STATE,Cross River,Cross River,Cross River,South South,FALSE,663.333333333333,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,11,2,B11
