observation_month,release_month,transport_mode,transport_mode_raw,geography_type,geography_name,geography_raw_label,state,zone,is_aggregate,fare_ngn,unit,source_period_label,source_anomaly,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,NATIONAL,Nigeria,Grand Total,,,TRUE,126907.709171982,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,39,2,B39
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Abia,ABIA,Abia,South East,FALSE,126550,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,2,2,B2
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Abuja,ABUJA,Abuja,North Central,FALSE,129350,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,3,2,B3
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Adamawa,ADAMAWA,Adamawa,North East,FALSE,124750,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,4,2,B4
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Akwa Ibom,AKWA IBOM,Akwa Ibom,South South,FALSE,126666.666666667,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,5,2,B5
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Anambra,ANAMBRA,Anambra,South East,FALSE,127100,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,6,2,B6
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Bauchi,BAUCHI,Bauchi,North East,FALSE,123550,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,7,2,B7
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Bayelsa,BAYELSA,Bayelsa,South South,FALSE,124500,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,8,2,B8
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Benue,BENUE,Benue,North Central,FALSE,124950,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,9,2,B9
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Borno,BORNO,Borno,North East,FALSE,130000,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,10,2,B10
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Cross River,CROSS RIVER,Cross River,South South,FALSE,126666.666666667,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,11,2,B11
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Delta,DELTA,Delta,South South,FALSE,124000,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,12,2,B12
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Ebonyi,EBONYI,Ebonyi,South East,FALSE,123500,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,13,2,B13
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Edo,EDO,Edo,South South,FALSE,124500,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,14,2,B14
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Ekiti,EKITI,Ekiti,South West,FALSE,123110,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,15,2,B15
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Enugu,ENUGU,Enugu,South East,FALSE,127850,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,16,2,B16
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Gombe,GOMBE,Gombe,North East,FALSE,127000,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,17,2,B17
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Imo,IMO,Imo,South East,FALSE,128700,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,18,2,B18
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Jigawa,JIGAWA,Jigawa,North West,FALSE,128500,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,19,2,B19
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Kaduna,KADUNA,Kaduna,North West,FALSE,127550,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,20,2,B20
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Kano,KANO,Kano,North West,FALSE,125500,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,21,2,B21
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Katsina,KATSINA,Katsina,North West,FALSE,127000,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,22,2,B22
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Kebbi,KEBBI,Kebbi,North West,FALSE,125110,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,23,2,B23
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Kogi,KOGI,Kogi,North Central,FALSE,127000,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,24,2,B24
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Kwara,KWARA,Kwara,North Central,FALSE,130000,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,25,2,B25
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Lagos,LAGOS,Lagos,South West,FALSE,120000,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,26,2,B26
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Nasarawa,NASARAWA,Nasarawa,North Central,FALSE,120650.953015,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,27,2,B27
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Niger,NIGER,Niger,North Central,FALSE,128110,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,28,2,B28
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Ogun,OGUN,Ogun,South West,FALSE,128650.953015,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,29,2,B29
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Ondo,ONDO,Ondo,South West,FALSE,126510,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,30,2,B30
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Osun,OSUN,Osun,South West,FALSE,130000,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,31,2,B31
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Oyo,OYO,Oyo,South West,FALSE,140110,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,32,2,B32
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Plateau,PLATEAU,Plateau,North Central,FALSE,126450,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,33,2,B33
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Rivers,RIVERS,Rivers,South South,FALSE,130000,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,34,2,B34
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Sokoto,SOKOTO,Sokoto,North West,FALSE,127150,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,35,2,B35
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Taraba,TARABA,Taraba,North East,FALSE,127850,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,36,2,B36
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Yobe,YOBE,Yobe,North East,FALSE,129700,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,37,2,B37
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,STATE,Zamfara,ZAMFARA,Zamfara,North West,FALSE,127000,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,38,2,B38
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",NATIONAL,Nigeria,Grand Total,,,TRUE,7573.277422449164,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,39,3,C39
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Abia,ABIA,Abia,South East,FALSE,8551.686624,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,2,3,C2
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Abuja,ABUJA,Abuja,North Central,FALSE,8288,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,3,3,C3
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Adamawa,ADAMAWA,Adamawa,North East,FALSE,7800,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,4,3,C4
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Akwa Ibom,AKWA IBOM,Akwa Ibom,South South,FALSE,8300,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,5,3,C5
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Anambra,ANAMBRA,Anambra,South East,FALSE,9700,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,6,3,C6
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Bauchi,BAUCHI,Bauchi,North East,FALSE,6450,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,7,3,C7
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Bayelsa,BAYELSA,Bayelsa,South South,FALSE,8200,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,8,3,C8
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Benue,BENUE,Benue,North Central,FALSE,6700,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,9,3,C9
