release_month,observation_month,transport_mode,transport_mode_raw,geography_type,geography_name,geography_raw_label,zone,is_aggregate,fare_ngn,unit,source_period_label,period_position,is_primary_release,source_anomaly,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-01-01,2024-01-01,AIR,Air fare charg.for specified routes single journey,NATIONAL,Nigeria,Air fare charg.for specified routes single journey,,TRUE,89975.67567567568,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,2,2,B2
2025-01-01,2024-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,North Central,NORTH CENTRAL,North Central,TRUE,84500,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,3,2,B3
2025-01-01,2024-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,North East,NORTH EAST,North East,TRUE,90916.66666666667,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,4,2,B4
2025-01-01,2024-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,North West,NORTH WEST,North West,TRUE,90928.57142857143,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,5,2,B5
2025-01-01,2024-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,South East,SOUTH EAST,South East,TRUE,87500,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,6,2,B6
2025-01-01,2024-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,South South,SOUTH SOUTH,South South,TRUE,91666.66666666667,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,7,2,B7
2025-01-01,2024-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,South West,SOUTH WEST,South West,TRUE,94683.33333333333,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,8,2,B8
2025-01-01,2024-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",NATIONAL,Nigeria,"Bus journey intercity, state route, charg. per per",,TRUE,7577.027027027027,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,9,2,B9
2025-01-01,2024-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,North Central,NORTH CENTRAL,North Central,TRUE,7121.428571428572,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,10,2,B10
2025-01-01,2024-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,North East,NORTH EAST,North East,TRUE,7500,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,11,2,B11
2025-01-01,2024-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,North West,NORTH WEST,North West,TRUE,7300,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,12,2,B12
2025-01-01,2024-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,South East,SOUTH EAST,South East,TRUE,8040,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,13,2,B13
2025-01-01,2024-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,South South,SOUTH SOUTH,South South,TRUE,8283.333333333334,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,14,2,B14
2025-01-01,2024-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,South West,SOUTH WEST,South West,TRUE,7416.666666666667,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,15,2,B15
2025-01-01,2024-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",NATIONAL,Nigeria,"Bus journey within  city , per  drop constant  rou",,TRUE,963.3783783783783,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,16,2,B16
2025-01-01,2024-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,North Central,NORTH CENTRAL,North Central,TRUE,962.8571428571429,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,17,2,B17
2025-01-01,2024-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,North East,NORTH EAST,North East,TRUE,996.6666666666666,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,18,2,B18
