item_code,item_label,item_label_normalised,observed_aliases,alias_variant_count,unit,unit_source,unit_evidence,observed_in
EGG_AGRIC,"Agric hen eggs,","agric hen eggs,","Agric hen eggs, | Agric hen eggs",2,,,,food
EGG_AGRIC_CRATE30,"Agric hen eggs, (a Crate of 30 pieces)","agric hen eggs, (a crate of 30 pieces)","Agric hen eggs, (a Crate of 30 pieces)",1,1 crate of 30 pieces,SPREADSHEET_LABEL,"item label states '(a Crate of 30 pieces)'; corroborated by Selected_Food_Report_Mar_2026.pdf p4 'Eggs (a crate of 30 pieces) stood at N6,127.62' = D3 of selected food table Mar26.xlsx",food
BEANS_BROWN,Beans Brown,beans brown,Beans Brown,1,1 kg,NBS_REPORT_PDF,"Selected_Food_Report_July_2025.pdf p4 'Brown Beans (1kg, sold loose) average price was N2,319.27' = D4 of selected_food_table_July-25.xlsx",food
BEANS_WHITE,Beans white,beans white,Beans white,1,,,,food
BEEF_BONELESS,Beef Boneless,beef boneless,Beef Boneless,1,1 kg,NBS_REPORT_PDF,"Selected Food Report_Dec 25.pdf p4 'beef boneless (1kg) ... to N6,885.09 in December 2025' = D6 of selected food table Dec25.xlsx",food
BREAD_SLICED_450G,"Bread (sliced), 450g","bread (sliced), 450g","Bread (sliced), 450g",1,450 g,SPREADSHEET_LABEL,item label states '450g',food
BREAD_UNSLICED_450G,"Bread (unsliced), 450g","bread (unsliced), 450g","Bread (unsliced), 450g",1,450 g,SPREADSHEET_LABEL,item label states '450g',food
CARROTS_FRESH,"Carrots, fresh","carrots, fresh","Carrots, fresh",1,1 kg,NBS_REPORT_PDF,"Selected_Food_Report_Jan25.pdf p3 '1kg of carrots cost N1,787.16' = D9 of Selected_food_table_Jan25.xlsx",food
FISH_CATFISH_FRESH,Cat fresh fish,cat fresh fish,Cat fresh fish,1,,,,food
CHICKEN_FEET,Chicken feet,chicken feet,Chicken feet,1,,,,food
CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),chicken meat (frozen),Chicken meat (Frozen),1,,,,food
CHICKEN_WINGS,Chicken Wings,chicken wings,Chicken Wings,1,,,,food
CRAYFISH_SMALL_WHITE,Cray fish small white,cray fish small white,Cray fish small white,1,1 kg,NBS_REPORT_PDF,"Selected_Food_Report_Feb_2026.pdf p3 'Cray fish (small white) 1kg stood at N8,785.16' = D14 of selected food table Feb 26.xlsx; also May 2025 report 'small white crayfish 1kg ... N8,046.84' = D14 of selected_food_table_May-25.xlsx",food
