alias_raw,alias_normalised,state,zone,alias_source,observed_in
ABIA,abia,Abia,South East,observed,transport
Abia,abia,Abia,South East,observed,"cooking_gas,cpi,diesel,petrol"
ABUJA,abuja,Abuja,North Central,observed,transport
Abuja,abuja,Abuja,North Central,observed,"cooking_gas,cpi,diesel,petrol"
FCT,fct,Abuja,North Central,design_not_observed,
ADAMAWA,adamawa,Adamawa,North East,observed,transport
Adamawa,adamawa,Adamawa,North East,observed,"cooking_gas,cpi,diesel,petrol"
AKWA IBOM,akwa ibom,Akwa Ibom,South South,observed,transport
Akwa Ibom,akwa ibom,Akwa Ibom,South South,observed,"cooking_gas,cpi,diesel,petrol"
ANAMBRA,anambra,Anambra,South East,observed,transport
Anambra,anambra,Anambra,South East,observed,"cooking_gas,cpi,diesel,petrol"
BAUCHI,bauchi,Bauchi,North East,observed,transport
Bauchi,bauchi,Bauchi,North East,observed,"cooking_gas,cpi,diesel,petrol"
BAYELSA,bayelsa,Bayelsa,South South,observed,transport
Bayelsa,bayelsa,Bayelsa,South South,observed,"cooking_gas,cpi,diesel,petrol"
BENUE,benue,Benue,North Central,observed,transport
Benue,benue,Benue,North Central,observed,"cooking_gas,cpi,diesel,petrol"
BORNO,borno,Borno,North East,observed,transport
Borno,borno,Borno,North East,observed,"cooking_gas,cpi,diesel,petrol"
CROSS RIVER,cross river,Cross River,South South,observed,transport
Cross River,cross river,Cross River,South South,observed,"cooking_gas,cpi,diesel,petrol"
DELTA,delta,Delta,South South,observed,transport
Delta,delta,Delta,South South,observed,"cooking_gas,cpi,diesel,petrol"
EBONYI,ebonyi,Ebonyi,South East,observed,transport
Ebonyi,ebonyi,Ebonyi,South East,observed,"cooking_gas,cpi,diesel,petrol"
EDO,edo,Edo,South South,observed,transport
Edo,edo,Edo,South South,observed,"cooking_gas,cpi,diesel,petrol"
EKITI,ekiti,Ekiti,South West,observed,transport
Ekiti,ekiti,Ekiti,South West,observed,"cooking_gas,cpi,diesel,petrol"
ENUGU,enugu,Enugu,South East,observed,transport
Enugu,enugu,Enugu,South East,observed,"cooking_gas,cpi,diesel,petrol"
GOMBE,gombe,Gombe,North East,observed,transport
Gombe,gombe,Gombe,North East,observed,"cooking_gas,cpi,diesel,petrol"
IMO,imo,Imo,South East,observed,transport
Imo,imo,Imo,South East,observed,"cooking_gas,cpi,diesel,petrol"
JIGAWA,jigawa,Jigawa,North West,observed,transport
Jigawa,jigawa,Jigawa,North West,observed,"cooking_gas,cpi,diesel,petrol"
KADUNA,kaduna,Kaduna,North West,observed,transport
Kaduna,kaduna,Kaduna,North West,observed,"cooking_gas,cpi,diesel,petrol"
KANO,kano,Kano,North West,observed,transport
Kano,kano,Kano,North West,observed,"cooking_gas,cpi,diesel,petrol"
KATSINA,katsina,Katsina,North West,observed,transport
Katsina,katsina,Katsina,North West,observed,"cooking_gas,cpi,diesel,petrol"
KEBBI,kebbi,Kebbi,North West,observed,transport
Kebbi,kebbi,Kebbi,North West,observed,"cooking_gas,cpi,diesel,petrol"
KOGI,kogi,Kogi,North Central,observed,transport
Kogi,kogi,Kogi,North Central,observed,"cooking_gas,cpi,diesel,petrol"
KWARA,kwara,Kwara,North Central,observed,transport
Kwara,kwara,Kwara,North Central,observed,"cooking_gas,cpi,diesel,petrol"
LAGOS,lagos,Lagos,South West,observed,transport
Lagos,lagos,Lagos,South West,observed,"cooking_gas,cpi,diesel,petrol"
NASARAWA,nasarawa,Nasarawa,North Central,observed,transport
Nasarawa,nasarawa,Nasarawa,North Central,observed,"cooking_gas,cpi,petrol"
NASSARAWA,nassarawa,Nasarawa,North Central,observed,transport
Nassarawa,nassarawa,Nasarawa,North Central,observed,"cpi,diesel,petrol"
NIGER,niger,Niger,North Central,observed,transport
Niger,niger,Niger,North Central,observed,"cooking_gas,cpi,diesel,petrol"
OGUN,ogun,Ogun,South West,observed,transport
Ogun,ogun,Ogun,South West,observed,"cooking_gas,cpi,diesel,petrol"
ONDO,ondo,Ondo,South West,observed,transport
Ondo,ondo,Ondo,South West,observed,"cooking_gas,cpi,diesel,petrol"
OSUN,osun,Osun,South West,observed,transport
Osun,osun,Osun,South West,observed,"cooking_gas,cpi,diesel,petrol"
OYO,oyo,Oyo,South West,observed,transport
Oyo,oyo,Oyo,South West,observed,"cooking_gas,cpi,diesel,petrol"
PLATEAU,plateau,Plateau,North Central,observed,transport
Plateau,plateau,Plateau,North Central,observed,"cooking_gas,cpi,diesel,petrol"
RIVERS,rivers,Rivers,South South,observed,transport
Rivers,rivers,Rivers,South South,observed,"cooking_gas,cpi,diesel,petrol"
SOKOTO,sokoto,Sokoto,North West,observed,transport
Sokoto,sokoto,Sokoto,North West,observed,"cooking_gas,cpi,diesel,petrol"
TARABA,taraba,Taraba,North East,observed,transport
Taraba,taraba,Taraba,North East,observed,"cooking_gas,cpi,diesel,petrol"
YOBE,yobe,Yobe,North East,observed,transport
Yobe,yobe,Yobe,North East,observed,"cooking_gas,cpi,diesel,petrol"
ZAMFARA,zamfara,Zamfara,North West,observed,transport
Zamfara,zamfara,Zamfara,North West,observed,"cooking_gas,cpi,diesel,petrol"
