alias_normalised,state,zone,observed_aliases,alias_variant_count,alias_source,observed_in
abia,Abia,South East,ABIA | Abia,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
abuja,Abuja,North Central,ABUJA | Abuja,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
fct,Abuja,North Central,FCT,1,design_not_observed,
adamawa,Adamawa,North East,ADAMAWA | Adamawa,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
akwa ibom,Akwa Ibom,South South,AKWA IBOM | Akwa Ibom,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
anambra,Anambra,South East,ANAMBRA | Anambra,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
bauchi,Bauchi,North East,BAUCHI | Bauchi,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
bayelsa,Bayelsa,South South,BAYELSA | Bayelsa,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
benue,Benue,North Central,BENUE | Benue,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
borno,Borno,North East,BORNO | Borno,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
cross river,Cross River,South South,CROSS RIVER | Cross River,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
delta,Delta,South South,DELTA | Delta,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
ebonyi,Ebonyi,South East,EBONYI | Ebonyi,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
edo,Edo,South South,EDO | Edo,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
ekiti,Ekiti,South West,EKITI | Ekiti,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
enugu,Enugu,South East,ENUGU | Enugu,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
gombe,Gombe,North East,GOMBE | Gombe,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
imo,Imo,South East,IMO | Imo,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
jigawa,Jigawa,North West,JIGAWA | Jigawa,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
kaduna,Kaduna,North West,KADUNA | Kaduna,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
kano,Kano,North West,KANO | Kano,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
katsina,Katsina,North West,KATSINA | Katsina,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
kebbi,Kebbi,North West,KEBBI | Kebbi,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
kogi,Kogi,North Central,KOGI | Kogi,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
kwara,Kwara,North Central,KWARA | Kwara,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
lagos,Lagos,South West,LAGOS | Lagos,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
nasarawa,Nasarawa,North Central,NASARAWA | Nasarawa,2,observed,"cooking_gas,cpi,petrol,transport"
nassarawa,Nasarawa,North Central,NASSARAWA | Nassarawa,2,observed,"cpi,diesel,petrol,transport"
niger,Niger,North Central,NIGER | Niger,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
ogun,Ogun,South West,OGUN | Ogun,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
ondo,Ondo,South West,ONDO | Ondo,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
osun,Osun,South West,OSUN | Osun,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
oyo,Oyo,South West,OYO | Oyo,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
plateau,Plateau,North Central,PLATEAU | Plateau,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
rivers,Rivers,South South,RIVERS | Rivers,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
sokoto,Sokoto,North West,SOKOTO | Sokoto,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
taraba,Taraba,North East,TARABA | Taraba,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
yobe,Yobe,North East,YOBE | Yobe,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
zamfara,Zamfara,North West,ZAMFARA | Zamfara,2,observed,"cooking_gas,cpi,diesel,petrol,transport"
