filename,relative_path,size_bytes,file_type,basic_integrity_check,status,notes
SELECTED_FOOD_PRICES_AUG_SEPT_2025.zip,nbs/food/SELECTED_FOOD_PRICES_AUG_SEPT_2025.zip,10745281,ZIP,"ZIP listed OK (4 members), CRC test passed",PASS,members: Selected_Food_Report Sept_25.pdf | selected food table september-25.xlsx | selected food table August-25.xlsx | Selected Food Report Aug25.pdf
Selected_Food Report_Oct25.zip,nbs/food/Selected_Food Report_Oct25.zip,5382099,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Selected Food Report_Oct25.pdf | selected food table October25.xlsx
Selected_Food_Report_Apr25.pdf,nbs/food/Selected_Food_Report_Apr25.pdf,5702720,PDF,"PDF header OK, %%EOF present",PASS,
Selected_Food_Report_April_2026.zip,nbs/food/Selected_Food_Report_April_2026.zip,5206130,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Selected_Food_Report_April_2026.pdf | selected food table Apr26.xlsx
Selected_Food_Report_Dec_25.zip,nbs/food/Selected_Food_Report_Dec_25.zip,6015405,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Selected Food Report_Dec 25.pdf | selected food table Dec25.xlsx
Selected_Food_Report_Feb_2026.zip,nbs/food/Selected_Food_Report_Feb_2026.zip,6045184,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Selected_Food_Report_Feb_2026.pdf | selected food table Feb 26.xlsx
Selected_Food_Report_Jan25.pdf,nbs/food/Selected_Food_Report_Jan25.pdf,5739046,PDF,"PDF header OK, %%EOF present",PASS,
Selected_Food_Report_Jan26.zip,nbs/food/Selected_Food_Report_Jan26.zip,6064473,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Selected_Food_Report_Jan26.pdf | selected food table Jan26.xlsx
Selected_Food_Report_July_2025.zip,nbs/food/Selected_Food_Report_July_2025.zip,5307330,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Selected_Food_Report_July_2025.pdf | selected_food_table_July-25.xlsx
Selected_Food_Report_June_2025.zip,nbs/food/Selected_Food_Report_June_2025.zip,5287972,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Selected_Food_Report_June_2025.pdf | selected_food_table_June-25.xlsx
Selected_Food_Report_Mar_2026.zip,nbs/food/Selected_Food_Report_Mar_2026.zip,5324812,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Selected_Food_Report_Mar_2026.pdf | selected food table Mar26.xlsx
Selected_Food_Report_May 26.zip,nbs/food/Selected_Food_Report_May 26.zip,5294517,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Selected_Food_Report_May 26.pdf | selected food table May 26.xlsx
Selected_Food_Report_May_2025.zip,nbs/food/Selected_Food_Report_May_2025.zip,5301528,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Selected_Food_Report_May_2025.pdf | selected_food_table_May-25.xlsx
Selected_Food_Report_Nov_25.zip,nbs/food/Selected_Food_Report_Nov_25.zip,5930085,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: selected food table Nov25.xlsx | Selected_Food_Report_Nov_25.pdf
Selected_food_table_Jan25.xlsx,nbs/food/Selected_food_table_Jan25.xlsx,20164,XLSX,"OOXML container opened read-only, 12 parts",PASS,
selected_food_table_Apr25.xlsx,nbs/food/selected_food_table_Apr25.xlsx,20098,XLSX,"OOXML container opened read-only, 12 parts",PASS,
selected_food_table_Feb_25.xlsx,nbs/food/selected_food_table_Feb_25.xlsx,20345,XLSX,"OOXML container opened read-only, 12 parts",PASS,
selected_food_table_Mar_25.xlsx,nbs/food/selected_food_table_Mar_25.xlsx,20548,XLSX,"OOXML container opened read-only, 12 parts",PASS,
Fuel_Report_April_2025.xlsx,nbs/petrol/Fuel_Report_April_2025.xlsx,14949,XLSX,"OOXML container opened read-only, 12 parts",PASS,
Fuel_Report_May_2025.xlsx,nbs/petrol/Fuel_Report_May_2025.xlsx,15190,XLSX,"OOXML container opened read-only, 12 parts",PASS,
PMS Report March 2025.xlsx,nbs/petrol/PMS Report March 2025.xlsx,12180,XLSX,"OOXML container opened read-only, 11 parts",PASS,
PMS Report OCTOBER 2025.zip,nbs/petrol/PMS Report OCTOBER 2025.zip,669900,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: PMS Report OCTOBER 2025.pdf | PMS_OCT_2025.xlsx
