dataset,disco,effective_month,filename,destination_path,official_url,size_bytes,sha256,acquired_utc,status,notes
NERC Electricity MYTO Orders,Abuja,2026-06,AEDC_MYTO_JUNE_2026.pdf,data/raw/nerc/electricity_myto/AEDC_MYTO_JUNE_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/07/AEDC_MYTO_JUNE_2026.pdf,11188195,a3411633a0241211431ba164fc367d4caf1c6e2a54fa18c92f4a3a55b8a21be8,2026-09-13T21:44:12Z,PASS,
NERC Electricity MYTO Orders,Benin,2026-06,BEDC_MYTO_JUNE_2026.pdf,data/raw/nerc/electricity_myto/BEDC_MYTO_JUNE_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/07/BEDC_MYTO_JUNE_2026.pdf,7950234,710010514c75ad6ef575ab1d9a58b1ece83831dc84ac3d641fcd804ad31c9de9,2026-09-13T21:44:12Z,PASS,
NERC Electricity MYTO Orders,Enugu,2026-06,EEDC_MYTO_JUNE_2026.pdf,data/raw/nerc/electricity_myto/EEDC_MYTO_JUNE_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/07/EEDC_MYTO_JUNE_2026.pdf,6601994,3bffb33c8f7f7e9a2bc8f00dc519006b69eebfc384fbcd6a695452bf01161bd0,2026-09-13T21:44:13Z,PASS,
NERC Electricity MYTO Orders,Eko,2026-06,EKEDP_MYTO_JUNE_2026.pdf,data/raw/nerc/electricity_myto/EKEDP_MYTO_JUNE_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/07/EKEDP_MYTO_JUNE_2026.pdf,4443764,b53bf245a69f5c9b646285fb36dbe09d03379c3b6c34bf18f4ed533d40bc4898,2026-09-13T21:44:13Z,PASS,
NERC Electricity MYTO Orders,Ibadan,2026-06,IBEDC_MYTO_JUNE_2026.pdf,data/raw/nerc/electricity_myto/IBEDC_MYTO_JUNE_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/07/IBEDC_MYTO_JUNE_2026.pdf,12214578,70b6f03527e70b4ab53127d259a3efd108abaa4cdb7c2d16569543793ebf0678,2026-09-13T21:44:13Z,PASS,
NERC Electricity MYTO Orders,Ikeja,2026-06,IE_MYTO_JUNE_2026.pdf,data/raw/nerc/electricity_myto/IE_MYTO_JUNE_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/07/IE_MYTO_JUNE_2026.pdf,4942587,fce2e90b9ab51b2abb688abe9160d3391bdc77f41dd85ac75073c0667ada80b0,2026-09-13T21:44:13Z,PASS,
NERC Electricity MYTO Orders,Jos,2026-06,JED_MYTO_JUNE_2026.pdf,data/raw/nerc/electricity_myto/JED_MYTO_JUNE_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/07/JED_MYTO_JUNE_2026.pdf,6214078,d353beb31b2e7d1351c1cf371402f9a1d63d19d9d7cd8de7331f1981941aed80,2026-09-13T21:44:13Z,PASS,
NERC Electricity MYTO Orders,Kaduna,2026-06,KAEDC_MYTO_JUNE_2026.pdf,data/raw/nerc/electricity_myto/KAEDC_MYTO_JUNE_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/07/KAEDC_MYTO_JUNE_2026.pdf,6672234,a1b4e29f8b11688e255f40833dc4f1f77ebc4d14ee11b851ada4efac2a97598a,2026-09-13T21:44:14Z,PASS,
NERC Electricity MYTO Orders,Kano,2026-06,KEDCO_MYTO_JUNE_2026.pdf,data/raw/nerc/electricity_myto/KEDCO_MYTO_JUNE_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/07/KEDCO_MYTO_JUNE_2026.pdf,7094749,5070a1beb704674cbdbe93a83a5e80c7434b7ee3b9d351325f7aa5eb93b88fe3,2026-09-13T21:44:14Z,PASS,
NERC Electricity MYTO Orders,Port Harcourt,2026-06,PHED_MYTO_JUNE_2026.pdf,data/raw/nerc/electricity_myto/PHED_MYTO_JUNE_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/07/PHED_MYTO_JUNE_2026.pdf,8111613,e311862783b6deceaeb1072c75eea379156f0ba6c59d7f1bf0a4bd8d2ec1442b,2026-09-13T21:44:14Z,PASS,
