disco,month,official_order_found,effective_date,release_title,filename,official_url,notes
AEDC,2025-01,YES,2025-01,AEDC MYTO JAN 2025,AEDC-MYTO-JAN-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/AEDC-MYTO-JAN-2025.pdf,"NERC website publication date: February 13, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
BEDC,2025-01,YES,2025-01,BEDC MYTO JAN 2025,BEDC-MYTO-JAN-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/BEDC-MYTO-JAN-2025.pdf,"NERC website publication date: February 13, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
EEDC,2025-01,YES,2025-01,EEDC MYTO JAN 2025,EEDC-MYTO-JAN-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/EEDC-MYTO-JAN-2025.pdf,"NERC website publication date: February 13, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
EKEDP,2025-01,YES,2025-01,EKEDP MYTO JAN 2025,EKEDP-MYTO-JAN-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/EKEDP-MYTO-JAN-2025.pdf,"NERC website publication date: February 13, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IBEDC,2025-01,YES,2025-01,IBEDC MYTO JAN 2025,IBEDC-MYTO-JAN-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/IBEDC-MYTO-JAN-2025.pdf,"NERC website publication date: February 13, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IE,2025-01,YES,2025-01,IE MYTO JAN 2025,IE-MYTO-JAN-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/IE-MYTO-JAN-2025.pdf,"NERC website publication date: February 13, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
JED,2025-01,YES,2025-01,JED MYTO JAN 2025,JED-MYTO-JAN-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/JED-MYTO-JAN-2025.pdf,"NERC website publication date: February 13, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KAEDC,2025-01,YES,2025-01,KAEDC MYTO JAN 2025,KAEDC-MYTO-JAN-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/KAEDC-MYTO-JAN-2025.pdf,"NERC website publication date: February 13, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KEDCO,2025-01,YES,2025-01,KEDCO MYTO JAN 2025,KEDCO-MYTO-JAN-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/KEDCO-MYTO-JAN-2025.pdf,"NERC website publication date: February 13, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
PHED,2025-01,YES,2025-01,PHED MYTO JAN 2025,PHED-MYTO-JAN-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/PHED-MYTO-JAN-2025.pdf,"NERC website publication date: February 13, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
