source_organisation,dataset,period_start,period_end,release_title,original_filename,file_type,official_source_url,download_url,download_status,contains_excel,contains_pdf,months_covered,notes
NBS,NBS Selected Food Price Watch,2025-01,2025-01,Selected Food Price Watch January 2025,Selected_Food_Report_Jan25.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1228,DOWNLOADED,NO,YES,2025-01,
NBS,NBS Selected Food Price Watch,2025-01,2025-01,Selected Food Price Watch January 2025 Tables,Selected_food_table_Jan25.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1230,DOWNLOADED,YES,NO,2025-01,
NBS,NBS Selected Food Price Watch,2025-02,2025-02,Selected Food Price Watch February Tables,selected_food_table_Feb_25.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1239,DOWNLOADED,YES,NO,2025-02,
NBS,NBS Selected Food Price Watch,2025-03,2025-03,Selected Food Price Watch March Tables,selected_food_table_Mar_25.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1240,DOWNLOADED,YES,NO,2025-03,
NBS,NBS Selected Food Price Watch,2025-04,2025-04,Selected Food Price Watch April 2025,Selected_Food_Report_Apr25.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1229,DOWNLOADED,NO,YES,2025-04,
NBS,NBS Selected Food Price Watch,2025-04,2025-04,Selected Food Price Watch April 2025 Tables,selected_food_table_Apr25.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1231,DOWNLOADED,YES,NO,2025-04,
NBS,NBS Selected Food Price Watch,2025-05,2025-05,Selected Food Price Watch May 2025,Selected_Food_Report_May_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1282,DOWNLOADED,YES,YES,2025-05,archive members: Selected_Food_Report_May_2025.pdf | selected_food_table_May-25.xlsx
NBS,NBS Selected Food Price Watch,2025-06,2025-06,Selected Food Price Watch June 2025,Selected_Food_Report_June_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1283,DOWNLOADED,YES,YES,2025-06,archive members: Selected_Food_Report_June_2025.pdf | selected_food_table_June-25.xlsx
NBS,NBS Selected Food Price Watch,2025-07,2025-07,Selected Food Price Watch July 2025,Selected_Food_Report_July_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1284,DOWNLOADED,YES,YES,2025-07,archive members: Selected_Food_Report_July_2025.pdf | selected_food_table_July-25.xlsx
NBS,NBS Selected Food Price Watch,2025-08,2025-09,Selected Food Price Watch August-September 2025,SELECTED_FOOD_PRICES_AUG_SEPT_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1310,DOWNLOADED,YES,YES,2025-08;2025-09,COMBINED RELEASE covering 2 months in one official file; archive members: Selected_Food_Report Sept_25.pdf | selected food table september-25.xlsx | selected food table August-25.xlsx | Selected Food Report Aug25.pdf
NBS,NBS Selected Food Price Watch,2025-10,2025-10,Selected Food Price Watch October 2025,Selected_Food Report_Oct25.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1319,DOWNLOADED,YES,YES,2025-10,archive members: Selected Food Report_Oct25.pdf | selected food table October25.xlsx
NBS,NBS Selected Food Price Watch,2025-11,2025-11,Selected Food Price Watch November 2025,Selected_Food_Report_Nov_25.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1343,DOWNLOADED,YES,YES,2025-11,archive members: selected food table Nov25.xlsx | Selected_Food_Report_Nov_25.pdf
NBS,NBS Selected Food Price Watch,2025-12,2025-12,Selected Food Price Watch December 2025,Selected_Food_Report_Dec_25.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1356,DOWNLOADED,YES,YES,2025-12,archive members: Selected Food Report_Dec 25.pdf | selected food table Dec25.xlsx
NBS,NBS Selected Food Price Watch,2026-01,2026-01,Selected Food Price Watch January 2026,Selected_Food_Report_Jan26.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1365,DOWNLOADED,YES,YES,2026-01,archive members: Selected_Food_Report_Jan26.pdf | selected food table Jan26.xlsx
NBS,NBS Selected Food Price Watch,2026-02,2026-02,Selected Food Price Watch February 2026,Selected_Food_Report_Feb_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1379,DOWNLOADED,YES,YES,2026-02,archive members: Selected_Food_Report_Feb_2026.pdf | selected food table Feb 26.xlsx
