source_organisation,dataset,period,sheet_name,column_position,original_column_name,inferred_role,example_value,notes
NBS,NBS Selected Food Price Watch,2025-09,Selected Food Sept 2025,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2025-09,Selected Food Sept 2025,2,Average of September-24,unknown,219.63850517306676,
NBS,NBS Selected Food Price Watch,2025-09,Selected Food Sept 2025,3,Average of August-25,unknown,254.696751969535,
NBS,NBS Selected Food Price Watch,2025-09,Selected Food Sept 2025,4,Average of September-25,unknown,248.215446160356,
NBS,NBS Selected Food Price Watch,2025-09,Selected Food Sept 2025,5,MoM,percentage,-2.544714747659695,
NBS,NBS Selected Food Price Watch,2025-09,Selected Food Sept 2025,6,YoY,percentage,13.010897595014914,
NBS,NBS Selected Food Price Watch,2025-09,Selected Food Sept 2025,7,Highest,geography,Enugu (325.88), | detected as the geography column
NBS,NBS Selected Food Price Watch,2025-09,Selected Food Sept 2025,8,Lowest,metadata,Yobe (213.13),
NBS,NBS Selected Food Price Watch,2025-09,Selected Food Sept 2025,9,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2025-09,Zone All item,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2025-09,Zone All item,2,NORTH CENTRAL,unknown,254.71726193263,
NBS,NBS Selected Food Price Watch,2025-09,Zone All item,3,NORTH EAST,unknown,233.09346180555553,
NBS,NBS Selected Food Price Watch,2025-09,Zone All item,4,NORTH WEST,unknown,239.76733996598634,
NBS,NBS Selected Food Price Watch,2025-09,Zone All item,5,SOUTH EAST,unknown,268.8533333333333,
NBS,NBS Selected Food Price Watch,2025-09,Zone All item,6,SOUTH SOUTH,unknown,248.40924801587303,
NBS,NBS Selected Food Price Watch,2025-09,Zone All item,7,SOUTH WEST,unknown,248.2160615079365,
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,2,Average of August-24,unknown,198.63494048738735,
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,3,Average of July-25,unknown,270.7705925485273,
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,4,Average of August-25,unknown,254.696751969535,
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,5,MoM,percentage,-5.936331721884296,
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,6,YoY,percentage,28.22353979848142,
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,7,Highest,geography,Enugu (326), | detected as the geography column
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,8,Lowest,metadata,Gombe (233.99),
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,9,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,10,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,11,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2025-08,Selected Food August 2025,12,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2025-08,Zone All item,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2025-08,Zone All item,2,NORTH CENTRAL,unknown,255.65914391380184,
NBS,NBS Selected Food Price Watch,2025-08,Zone All item,3,NORTH EAST,unknown,243.74909722222228,
NBS,NBS Selected Food Price Watch,2025-08,Zone All item,4,NORTH WEST,unknown,243.7046462585024,
NBS,NBS Selected Food Price Watch,2025-08,Zone All item,5,SOUTH EAST,unknown,280.55,
NBS,NBS Selected Food Price Watch,2025-08,Zone All item,6,SOUTH SOUTH,unknown,261.78567460317464,
NBS,NBS Selected Food Price Watch,2025-08,Zone All item,7,SOUTH WEST,unknown,248.71244345238097,
NBS,NBS Selected Food Price Watch,2025-10,Selected Food October 2025,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2025-10,Selected Food October 2025,2,Average of October-24,unknown,235.67349814172533,
NBS,NBS Selected Food Price Watch,2025-10,Selected Food October 2025,3,Average of September-25,unknown,248.215446160356,
NBS,NBS Selected Food Price Watch,2025-10,Selected Food October 2025,4,Average of October-25,unknown,252.79055205869216,
NBS,NBS Selected Food Price Watch,2025-10,Selected Food October 2025,5,MoM,percentage,1.8431995144171913,
NBS,NBS Selected Food Price Watch,2025-10,Selected Food October 2025,6,YoY,percentage,7.263037232414337,
NBS,NBS Selected Food Price Watch,2025-10,Selected Food October 2025,7,Highest,geography,Enugu (300), | detected as the geography column
NBS,NBS Selected Food Price Watch,2025-10,Selected Food October 2025,8,Lowest,metadata,Gombe (229.44),
NBS,NBS Selected Food Price Watch,2025-10,Selected Food October 2025,9,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2025-10,Selected Food October 2025,10,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2025-10,Selected Food October 2025,11,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2025-10,Zone All item,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2025-10,Zone All item,2,NORTH CENTRAL,unknown,245.6897219066734,
NBS,NBS Selected Food Price Watch,2025-10,Zone All item,3,NORTH EAST,unknown,269.61710484994165,
NBS,NBS Selected Food Price Watch,2025-10,Zone All item,4,NORTH WEST,unknown,241.5941162494208,
NBS,NBS Selected Food Price Watch,2025-10,Zone All item,5,SOUTH EAST,unknown,271.6457979006226,
NBS,NBS Selected Food Price Watch,2025-10,Zone All item,6,SOUTH SOUTH,unknown,246.61326190476186,
NBS,NBS Selected Food Price Watch,2025-10,Zone All item,7,SOUTH WEST,unknown,247.7753948412698,
NBS,NBS Selected Food Price Watch,2026-04,Selected Food April 2026,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2026-04,Selected Food April 2026,2,Average of April-25,unknown,259.31615245998495,
NBS,NBS Selected Food Price Watch,2026-04,Selected Food April 2026,3,Average of March-26,unknown,256.48492026575803,
NBS,NBS Selected Food Price Watch,2026-04,Selected Food April 2026,4,Average of April-26,unknown,259.21819457952904,
NBS,NBS Selected Food Price Watch,2026-04,Selected Food April 2026,5,MoM,percentage,1.0656666719193122,
NBS,NBS Selected Food Price Watch,2026-04,Selected Food April 2026,6,YoY,percentage,-0.037775464245723804,
NBS,NBS Selected Food Price Watch,2026-04,Selected Food April 2026,7,Highest,geography,Abia (284.42), | detected as the geography column
NBS,NBS Selected Food Price Watch,2026-04,Selected Food April 2026,8,Lowest,metadata,Plateau (243.38),
NBS,NBS Selected Food Price Watch,2026-04,Selected Food April 2026,9,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2026-04,Selected Food April 2026,10,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2026-04,Selected Food April 2026,11,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2026-04,Zone All item,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2026-04,Zone All item,2,NORTH CENTRAL,unknown,255.67327666897953,
NBS,NBS Selected Food Price Watch,2026-04,Zone All item,3,NORTH EAST,unknown,269.00945191019986,
NBS,NBS Selected Food Price Watch,2026-04,Zone All item,4,NORTH WEST,unknown,255.68165441777242,
NBS,NBS Selected Food Price Watch,2026-04,Zone All item,5,SOUTH EAST,unknown,263.5395745195204,
NBS,NBS Selected Food Price Watch,2026-04,Zone All item,6,SOUTH SOUTH,unknown,257.2693739023968,
NBS,NBS Selected Food Price Watch,2026-04,Zone All item,7,SOUTH WEST,unknown,256.0363090603548,
NBS,NBS Selected Food Price Watch,2025-12,Selected Food December 2025,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2025-12,Selected Food December 2025,2,Average of December-24,unknown,252.17,
NBS,NBS Selected Food Price Watch,2025-12,Selected Food December 2025,3,Average of November-25,unknown,244.9653384010952,
NBS,NBS Selected Food Price Watch,2025-12,Selected Food December 2025,4,Average of December-25,unknown,240.95684693717112,
NBS,NBS Selected Food Price Watch,2025-12,Selected Food December 2025,5,MoM,percentage,-1.6363504690450388,
NBS,NBS Selected Food Price Watch,2025-12,Selected Food December 2025,6,YoY,percentage,-4.446664180048724,
NBS,NBS Selected Food Price Watch,2025-12,Selected Food December 2025,7,Highest,geography,Borno (270.44), | detected as the geography column
NBS,NBS Selected Food Price Watch,2025-12,Selected Food December 2025,8,Lowest,metadata,Gombe (222.37),
NBS,NBS Selected Food Price Watch,2025-12,Selected Food December 2025,9,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2025-12,Selected Food December 2025,10,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2025-12,Selected Food December 2025,11,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2025-12,Zone All item,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2025-12,Zone All item,2,NORTH CENTRAL,unknown,241.86444322216923,
NBS,NBS Selected Food Price Watch,2025-12,Zone All item,3,NORTH EAST,unknown,244.540497737585,
NBS,NBS Selected Food Price Watch,2025-12,Zone All item,4,NORTH WEST,unknown,238.10980095356874,
NBS,NBS Selected Food Price Watch,2025-12,Zone All item,5,SOUTH EAST,unknown,241.81906475335478,
NBS,NBS Selected Food Price Watch,2025-12,Zone All item,6,SOUTH SOUTH,unknown,238.1360405690635,
NBS,NBS Selected Food Price Watch,2025-12,Zone All item,7,SOUTH WEST,unknown,241.73817897308334,
NBS,NBS Selected Food Price Watch,2026-02,Selected Food February 2026,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2026-02,Selected Food February 2026,2,Average of February-25,unknown,251.94051654054056,
NBS,NBS Selected Food Price Watch,2026-02,Selected Food February 2026,3,Average of January-26,unknown,240.1632790829544,
NBS,NBS Selected Food Price Watch,2026-02,Selected Food February 2026,4,Average of February-26,unknown,248.34928079654358,
NBS,NBS Selected Food Price Watch,2026-02,Selected Food February 2026,5,MoM,percentage,3.4085151338900834,
NBS,NBS Selected Food Price Watch,2026-02,Selected Food February 2026,6,YoY,percentage,-1.4254300155088784,
NBS,NBS Selected Food Price Watch,2026-02,Selected Food February 2026,7,Highest,geography,Abia (282.17), | detected as the geography column
NBS,NBS Selected Food Price Watch,2026-02,Selected Food February 2026,8,Lowest,metadata,Niger (230.17),
NBS,NBS Selected Food Price Watch,2026-02,Selected Food February 2026,9,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2026-02,Selected Food February 2026,10,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2026-02,Selected Food February 2026,11,,unknown,,blank header cell
NBS,NBS Selected Food Price Watch,2026-02,Zone All item,1,Item Label,product,"Agric hen eggs,",
NBS,NBS Selected Food Price Watch,2026-02,Zone All item,2,NORTH CENTRAL,unknown,244.3424543787253,
NBS,NBS Selected Food Price Watch,2026-02,Zone All item,3,NORTH EAST,unknown,251.5444756729515,
NBS,NBS Selected Food Price Watch,2026-02,Zone All item,4,NORTH WEST,unknown,244.71871459416056,
