source_organisation,dataset,release_or_sample,period,container_type,spreadsheet_present,pdf_present,sheet_name,rows_estimate,columns_estimate,header_row_estimate,geography_field,date_or_period_field,measure_fields,layout_type,structural_notes
NBS,NBS Selected Food Price Watch,SELECTED_FOOD_PRICES_AUG_SEPT_2025.zip :: selected food table september-25.xlsx,2025-09,ZIP,YES,YES,Selected Food Sept 2025,43,9,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,SELECTED_FOOD_PRICES_AUG_SEPT_2025.zip :: selected food table september-25.xlsx,2025-09,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,SELECTED_FOOD_PRICES_AUG_SEPT_2025.zip :: selected food table August-25.xlsx,2025-08,ZIP,YES,YES,Selected Food August 2025,43,12,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,SELECTED_FOOD_PRICES_AUG_SEPT_2025.zip :: selected food table August-25.xlsx,2025-08,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_Food Report_Oct25.zip :: selected food table October25.xlsx,2025-10,ZIP,YES,YES,Selected Food October 2025,43,11,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,Selected_Food Report_Oct25.zip :: selected food table October25.xlsx,2025-10,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Apr25.pdf,2025-04,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS Selected Food Price Watch,Selected_Food_Report_April_2026.zip :: selected food table Apr26.xlsx,2026-04,ZIP,YES,YES,Selected Food April 2026,43,11,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,Selected_Food_Report_April_2026.zip :: selected food table Apr26.xlsx,2026-04,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Dec_25.zip :: selected food table Dec25.xlsx,2025-12,ZIP,YES,YES,Selected Food December 2025,43,11,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Dec_25.zip :: selected food table Dec25.xlsx,2025-12,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Feb_2026.zip :: selected food table Feb 26.xlsx,2026-02,ZIP,YES,YES,Selected Food February 2026,43,11,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Feb_2026.zip :: selected food table Feb 26.xlsx,2026-02,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Jan25.pdf,2025-01,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Jan26.zip :: selected food table Jan26.xlsx,2026-01,ZIP,YES,YES,Selected Food January 2026,43,11,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Jan26.zip :: selected food table Jan26.xlsx,2026-01,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_Food_Report_July_2025.zip :: selected_food_table_July-25.xlsx,2025-07,ZIP,YES,YES,Selected Food July 2025,43,12,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,Selected_Food_Report_July_2025.zip :: selected_food_table_July-25.xlsx,2025-07,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_Food_Report_June_2025.zip :: selected_food_table_June-25.xlsx,2025-06,ZIP,YES,YES,Selected Food June 2025,43,12,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,Selected_Food_Report_June_2025.zip :: selected_food_table_June-25.xlsx,2025-06,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Mar_2026.zip :: selected food table Mar26.xlsx,2026-03,ZIP,YES,YES,Selected Food March 2026,43,11,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Mar_2026.zip :: selected food table Mar26.xlsx,2026-03,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_Food_Report_May 26.zip :: selected food table May 26.xlsx,2026-05,ZIP,YES,YES,Selected Food May 2026,43,11,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,Selected_Food_Report_May 26.zip :: selected food table May 26.xlsx,2026-05,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_Food_Report_May_2025.zip :: selected_food_table_May-25.xlsx,2025-05,ZIP,YES,YES,Selected Food May 2025,43,12,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,Selected_Food_Report_May_2025.zip :: selected_food_table_May-25.xlsx,2025-05,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Nov_25.zip :: selected food table Nov25.xlsx,2025-11,ZIP,YES,YES,Selected Food November 2025,43,11,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,Selected_Food_Report_Nov_25.zip :: selected food table Nov25.xlsx,2025-11,ZIP,YES,YES,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,Selected_food_table_Jan25.xlsx :: Selected_food_table_Jan25.xlsx,2025-01,XLSX,YES,NO,Selected Food Jan 2025,43,11,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
