state_id,state_name,zone_name,observation_month,metric_code,metric_value,unit,in_primary_release_window,v_year_ago,fare_yoy_pct,cpi_yoy_pct,gap_pp
1,Abia,South East,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,785.0,NGN per journey,True,509.492,54.075,11.6708,42.4042
1,Abia,South East,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,649.0,NGN per journey,True,470.0,38.0851,11.6708,26.4143
1,Abia,South East,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,850.9771,NGN per journey,True,489.3881,73.886,15.6211,58.2648
1,Abia,South East,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1559.9446,NGN per journey,True,550.0,183.6263,15.3438,168.2825
1,Abia,South East,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,850.1771,NGN per journey,True,477.0,78.2342,15.3438,62.8904
1,Abia,South East,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1562.002,NGN per journey,False,672.2282,132.3619,22.1568,110.2051
1,Abia,South East,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,890.0479,NGN per journey,False,500.3881,77.8715,22.1568,55.7147
1,Abia,South East,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1560.4457,NGN per journey,True,671.8168,132.2725,15.6211,116.6514
2,Abuja,North Central,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1007.7704,NGN per journey,True,860.0,17.1826,19.2484,-2.0658
2,Abuja,North Central,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,843.6494,NGN per journey,True,680.0,24.0661,19.2484,4.8177
2,Abuja,North Central,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1380.0,NGN per journey,True,920.0,50.0,9.1621,40.8379
2,Abuja,North Central,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1050.8,NGN per journey,True,778.304,35.0115,16.7179,18.2936
2,Abuja,North Central,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1353.9719,NGN per journey,True,900.0,50.4413,16.7179,33.7234
2,Abuja,North Central,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1081.3126,NGN per journey,False,761.0701,42.0779,12.5797,29.4982
2,Abuja,North Central,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1409.8136,NGN per journey,False,950.0,48.4014,12.5797,35.8218
2,Abuja,North Central,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1052.655,NGN per journey,True,707.6267,48.7585,9.1621,39.5964
3,Adamawa,North East,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,695.591,NGN per journey,True,460.0,51.2154,19.1902,32.0252
3,Adamawa,North East,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,628.2865,NGN per journey,True,500.0,25.6573,19.1902,6.4671
3,Adamawa,North East,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,911.6534,NGN per journey,True,550.0,65.7552,15.3625,50.3927
3,Adamawa,North East,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,710.5,NGN per journey,True,500.0,42.1,16.7542,25.3458
3,Adamawa,North East,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,911.16,NGN per journey,True,500.0,82.232,16.7542,65.4778
3,Adamawa,North East,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,761.3156,NGN per journey,False,560.0701,35.9322,19.5402,16.392
3,Adamawa,North East,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,918.472,NGN per journey,False,589.5,55.8053,19.5402,36.265
3,Adamawa,North East,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,730.2394,NGN per journey,True,550.0,32.7708,15.3625,17.4083
4,Akwa Ibom,South South,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1110.916,NGN per journey,True,930.0,19.4533,16.4113,3.042
4,Akwa Ibom,South South,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,645.4527,NGN per journey,True,450.0,43.4339,16.4113,27.0226
4,Akwa Ibom,South South,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1380.12,NGN per journey,True,1000.2857,37.9726,17.7224,20.2502
4,Akwa Ibom,South South,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,720.7,NGN per journey,True,550.0,31.0364,22.2033,8.8331
4,Akwa Ibom,South South,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1375.0771,NGN per journey,True,980.0,40.314,22.2033,18.1107
4,Akwa Ibom,South South,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,778.0647,NGN per journey,False,640.25,21.5251,21.499,0.0261
4,Akwa Ibom,South South,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1396.9398,NGN per journey,False,1020.8464,36.8413,21.499,15.3423
4,Akwa Ibom,South South,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,740.8813,NGN per journey,True,580.0,27.7381,17.7224,10.0157
5,Anambra,South East,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1166.25,NGN per journey,True,940.0,24.0691,17.2741,6.795
5,Anambra,South East,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,730.0,NGN per journey,True,350.0,108.5714,17.2741,91.2973
5,Anambra,South East,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1290.6125,NGN per journey,True,1068.8812,20.7442,19.7455,0.9988
5,Anambra,South East,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,805.8724,NGN per journey,True,430.0,87.4122,19.0317,68.3805
5,Anambra,South East,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1289.9261,NGN per journey,True,980.0,31.6251,19.0317,12.5934
5,Anambra,South East,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,854.3173,NGN per journey,False,528.4265,61.6719,23.2932,38.3787
5,Anambra,South East,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1321.1198,NGN per journey,False,1069.3898,23.5396,23.2932,0.2463
5,Anambra,South East,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,810.235,NGN per journey,True,500.0,62.047,19.7455,42.3015
6,Bauchi,North East,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1222.7977,NGN per journey,True,950.0,28.7155,15.0106,13.7049
6,Bauchi,North East,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,816.2751,NGN per journey,True,450.0,81.3945,15.0106,66.3838
6,Bauchi,North East,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1413.9424,NGN per journey,True,1235.4175,14.4506,22.5247,-8.0741
6,Bauchi,North East,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,880.9522,NGN per journey,True,550.0,60.1731,23.6672,36.506
6,Bauchi,North East,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1413.1364,NGN per journey,True,1000.0,41.3136,23.6672,17.6465
6,Bauchi,North East,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,937.3715,NGN per journey,False,595.9256,57.2967,22.0109,35.2858
6,Bauchi,North East,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1463.2433,NGN per journey,False,1243.8509,17.6382,22.0109,-4.3728
6,Bauchi,North East,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,880.9789,NGN per journey,True,585.1162,50.5648,22.5247,28.0401
7,Bayelsa,South South,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1081.6667,NGN per journey,True,800.0,35.2083,15.9458,19.2626
7,Bayelsa,South South,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,846.5875,NGN per journey,True,450.0,88.1306,15.9458,72.1848
7,Bayelsa,South South,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1273.9655,NGN per journey,True,900.0,41.5517,20.9211,20.6306
7,Bayelsa,South South,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,920.5,NGN per journey,True,550.0,67.3636,27.3723,39.9913
7,Bayelsa,South South,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1273.7551,NGN per journey,True,880.0,44.7449,27.3723,17.3726
7,Bayelsa,South South,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,981.6483,NGN per journey,False,600.0,63.608,19.2785,44.3296
7,Bayelsa,South South,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1302.3336,NGN per journey,False,970.5,34.192,19.2785,14.9135
7,Bayelsa,South South,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,945.765,NGN per journey,True,557.5,69.644,20.9211,48.7229
8,Benue,North Central,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1247.4326,NGN per journey,True,850.0,46.7568,22.4821,24.2746
8,Benue,North Central,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,825.3813,NGN per journey,True,600.0,37.5635,22.4821,15.0814
8,Benue,North Central,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1578.9211,NGN per journey,True,950.1538,66.1753,14.937,51.2384
8,Benue,North Central,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,908.1923,NGN per journey,True,680.0,33.5577,18.9318,14.6259
