state_id,state_name,zone_name,metric_code,months,months_high,months_low,share_high,share_low,persistent_high,persistent_low
1,Abia,South East,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,0,15,0.0,1.0,False,True
1,Abia,South East,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,3,3,0.2,0.2,False,False
1,Abia,South East,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,15,0.0,1.0,False,True
2,Abuja,North Central,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,0,3,0.0,0.2,False,False
2,Abuja,North Central,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,3,0,0.2,0.0,False,False
2,Abuja,North Central,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,15,0.0,1.0,False,True
3,Adamawa,North East,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,0,15,0.0,1.0,False,True
3,Adamawa,North East,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,0,14,0.0,0.9333,False,True
3,Adamawa,North East,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,0,0.0,0.0,False,False
4,Akwa Ibom,South South,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,0,0,0.0,0.0,False,False
4,Akwa Ibom,South South,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,0,9,0.0,0.6,False,False
4,Akwa Ibom,South South,TRANSPORT_WATER_NGN_PER_JOURNEY,15,15,0,1.0,0.0,True,False
5,Anambra,South East,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,1,2,0.0667,0.1333,False,False
5,Anambra,South East,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,0,15,0.0,1.0,False,True
5,Anambra,South East,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,15,0.0,1.0,False,True
6,Bauchi,North East,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,9,0,0.6,0.0,False,False
6,Bauchi,North East,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,0,3,0.0,0.2,False,False
6,Bauchi,North East,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,0,0.0,0.0,False,False
7,Bayelsa,South South,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,0,7,0.0,0.4667,False,False
7,Bayelsa,South South,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,0,9,0.0,0.6,False,False
7,Bayelsa,South South,TRANSPORT_WATER_NGN_PER_JOURNEY,15,15,0,1.0,0.0,True,False
8,Benue,North Central,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,3,0,0.2,0.0,False,False
8,Benue,North Central,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,2,0,0.1333,0.0,False,False
8,Benue,North Central,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,0,0.0,0.0,False,False
9,Borno,North East,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,3,2,0.2,0.1333,False,False
9,Borno,North East,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,2,2,0.1333,0.1333,False,False
9,Borno,North East,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,15,0.0,1.0,False,True
10,Cross River,South South,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,2,0,0.1333,0.0,False,False
10,Cross River,South South,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,8,0,0.5333,0.0,False,False
10,Cross River,South South,TRANSPORT_WATER_NGN_PER_JOURNEY,15,15,0,1.0,0.0,True,False
11,Delta,South South,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,0,0,0.0,0.0,False,False
11,Delta,South South,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,3,0,0.2,0.0,False,False
11,Delta,South South,TRANSPORT_WATER_NGN_PER_JOURNEY,15,15,0,1.0,0.0,True,False
12,Ebonyi,South East,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,0,2,0.0,0.1333,False,False
12,Ebonyi,South East,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,1,0,0.0667,0.0,False,False
12,Ebonyi,South East,TRANSPORT_WATER_NGN_PER_JOURNEY,15,1,0,0.0667,0.0,False,False
13,Edo,South South,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,0,0,0.0,0.0,False,False
13,Edo,South South,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,0,15,0.0,1.0,False,True
13,Edo,South South,TRANSPORT_WATER_NGN_PER_JOURNEY,15,15,0,1.0,0.0,True,False
14,Ekiti,South West,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,0,0,0.0,0.0,False,False
14,Ekiti,South West,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,0,14,0.0,0.9333,False,True
14,Ekiti,South West,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,0,0.0,0.0,False,False
15,Enugu,South East,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,13,0,0.8667,0.0,True,False
15,Enugu,South East,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,0,5,0.0,0.3333,False,False
15,Enugu,South East,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,0,0.0,0.0,False,False
16,Gombe,North East,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,8,0,0.5333,0.0,False,False
16,Gombe,North East,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,3,0,0.2,0.0,False,False
16,Gombe,North East,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,15,0.0,1.0,False,True
17,Imo,South East,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,4,0,0.2667,0.0,False,False
17,Imo,South East,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,15,0,1.0,0.0,True,False
17,Imo,South East,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,0,0.0,0.0,False,False
18,Jigawa,North West,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,3,3,0.2,0.2,False,False
18,Jigawa,North West,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,0,4,0.0,0.2667,False,False
18,Jigawa,North West,TRANSPORT_WATER_NGN_PER_JOURNEY,15,0,0,0.0,0.0,False,False
19,Kaduna,North West,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,15,9,0,0.6,0.0,False,False
19,Kaduna,North West,TRANSPORT_OKADA_NGN_PER_JOURNEY,15,13,0,0.8667,0.0,True,False
