metric_code,observation_month,North,South,north_minus_south_ngn,north_premium_pct
DIESEL_PRICE_NGN_PER_LITRE,2025-02-01,1532.5586,1333.3333,199.2253,14.9419
DIESEL_PRICE_NGN_PER_LITRE,2025-03-01,1644.4183,1451.8344,192.5839,13.2649
DIESEL_PRICE_NGN_PER_LITRE,2025-04-01,1772.5333,1665.8471,106.6862,6.4043
DIESEL_PRICE_NGN_PER_LITRE,2025-05-01,1826.5634,1666.19,160.3734,9.6252
DIESEL_PRICE_NGN_PER_LITRE,2025-06-01,1835.8967,1766.19,69.7067,3.9467
DIESEL_PRICE_NGN_PER_LITRE,2025-07-01,1782.6975,1810.1672,-27.4697,-1.5175
DIESEL_PRICE_NGN_PER_LITRE,2025-08-01,1533.6657,1606.0,-72.3343,-4.504
DIESEL_PRICE_NGN_PER_LITRE,2025-09-01,1289.2524,1242.8824,46.37,3.7308
DIESEL_PRICE_NGN_PER_LITRE,2025-10-01,1403.2179,1399.6149,3.603,0.2574
DIESEL_PRICE_NGN_PER_LITRE,2025-11-01,1423.9961,1406.1114,17.8848,1.2719
DIESEL_PRICE_NGN_PER_LITRE,2025-12-01,1410.8591,1405.9028,4.9563,0.3525
DIESEL_PRICE_NGN_PER_LITRE,2026-01-01,1377.8833,1323.4226,54.4607,4.1151
DIESEL_PRICE_NGN_PER_LITRE,2026-02-01,1407.1036,1423.6728,-16.5692,-1.1638
DIESEL_PRICE_NGN_PER_LITRE,2026-03-01,1613.5544,1621.9479,-8.3935,-0.5175
DIESEL_PRICE_NGN_PER_LITRE,2026-04-01,2493.8341,2425.9442,67.8899,2.7985
PETROL_PRICE_NGN_PER_LITRE,2025-02-01,1326.104,1131.1111,194.9929,17.2391
PETROL_PRICE_NGN_PER_LITRE,2025-03-01,1303.9696,1175.5442,128.4254,10.9248
PETROL_PRICE_NGN_PER_LITRE,2025-04-01,1257.193,1185.9,71.293,6.0117
PETROL_PRICE_NGN_PER_LITRE,2025-05-01,1015.0674,1038.0057,-22.9383,-2.2098
PETROL_PRICE_NGN_PER_LITRE,2025-06-01,1033.075,1038.0057,-4.9307,-0.475
PETROL_PRICE_NGN_PER_LITRE,2025-07-01,1032.455,1020.0,12.455,1.2211
PETROL_PRICE_NGN_PER_LITRE,2025-08-01,990.8233,973.506,17.3173,1.7789
PETROL_PRICE_NGN_PER_LITRE,2025-09-01,965.7207,958.3815,7.3392,0.7658
PETROL_PRICE_NGN_PER_LITRE,2025-10-01,1057.6117,1036.9893,20.6224,1.9887
PETROL_PRICE_NGN_PER_LITRE,2025-11-01,1066.3726,1051.8192,14.5534,1.3836
PETROL_PRICE_NGN_PER_LITRE,2025-12-01,1055.9283,1044.0301,11.8982,1.1396
PETROL_PRICE_NGN_PER_LITRE,2026-01-01,1039.3672,1029.45,9.9172,0.9634
PETROL_PRICE_NGN_PER_LITRE,2026-02-01,1053.6092,1050.0275,3.5817,0.3411
PETROL_PRICE_NGN_PER_LITRE,2026-03-01,1302.4925,1279.6019,22.8906,1.7889
PETROL_PRICE_NGN_PER_LITRE,2026-04-01,1550.3163,1547.7197,2.5966,0.1678
