state_name,zone_name,half
Abuja,North Central,North
Benue,North Central,North
Kogi,North Central,North
Kwara,North Central,North
Nasarawa,North Central,North
Niger,North Central,North
Plateau,North Central,North
Adamawa,North East,North
Bauchi,North East,North
Borno,North East,North
Gombe,North East,North
Taraba,North East,North
Yobe,North East,North
Jigawa,North West,North
Kaduna,North West,North
Kano,North West,North
Katsina,North West,North
Kebbi,North West,North
Sokoto,North West,North
Zamfara,North West,North
Abia,South East,South
Anambra,South East,South
Ebonyi,South East,South
Enugu,South East,South
Imo,South East,South
Akwa Ibom,South South,South
Bayelsa,South South,South
Cross River,South South,South
Delta,South South,South
Edo,South South,South
Rivers,South South,South
Ekiti,South West,South
Lagos,South West,South
Ogun,South West,South
Ondo,South West,South
Osun,South West,South
Oyo,South West,South
