state_id,state_name,zone_name,n_metrics,n_families,families,scope
28,Ogun,South West,3,2,INTERREGIONAL_TRANSPORT; LOCAL_MOBILITY,ALL_METRICS
33,Rivers,South South,3,2,INTERREGIONAL_TRANSPORT; LOCAL_MOBILITY,ALL_METRICS
17,Imo,South East,2,2,INTERREGIONAL_TRANSPORT; LOCAL_MOBILITY,ALL_METRICS
35,Taraba,North East,2,2,LOCAL_MOBILITY; LPG,ALL_METRICS
37,Zamfara,North West,2,2,INTERREGIONAL_TRANSPORT; LOCAL_MOBILITY,ALL_METRICS
25,Lagos,South West,3,1,LOCAL_MOBILITY,ALL_METRICS
29,Ondo,South West,3,1,LOCAL_MOBILITY,ALL_METRICS
31,Oyo,South West,2,1,INTERREGIONAL_TRANSPORT,ALL_METRICS
1,Abia,South East,1,1,INTERREGIONAL_TRANSPORT,ALL_METRICS
2,Abuja,North Central,1,1,INTERREGIONAL_TRANSPORT,ALL_METRICS
4,Akwa Ibom,South South,1,1,LOCAL_MOBILITY,ALL_METRICS
5,Anambra,South East,1,1,INTERREGIONAL_TRANSPORT,ALL_METRICS
7,Bayelsa,South South,1,1,LOCAL_MOBILITY,ALL_METRICS
10,Cross River,South South,1,1,LOCAL_MOBILITY,ALL_METRICS
11,Delta,South South,1,1,LOCAL_MOBILITY,ALL_METRICS
13,Edo,South South,1,1,LOCAL_MOBILITY,ALL_METRICS
15,Enugu,South East,1,1,LOCAL_MOBILITY,ALL_METRICS
16,Gombe,North East,1,1,INTERREGIONAL_TRANSPORT,ALL_METRICS
19,Kaduna,North West,1,1,LOCAL_MOBILITY,ALL_METRICS
24,Kwara,North Central,1,1,LOCAL_MOBILITY,ALL_METRICS
26,Nasarawa,North Central,1,1,LOCAL_MOBILITY,ALL_METRICS
34,Sokoto,North West,1,1,LIQUID_FUEL,ALL_METRICS
36,Yobe,North East,1,1,LOCAL_MOBILITY,ALL_METRICS
28,Ogun,South West,3,2,INTERREGIONAL_TRANSPORT; LOCAL_MOBILITY,RANK_STABLE_ONLY
17,Imo,South East,2,2,INTERREGIONAL_TRANSPORT; LOCAL_MOBILITY,RANK_STABLE_ONLY
25,Lagos,South West,3,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
29,Ondo,South West,3,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
33,Rivers,South South,2,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
1,Abia,South East,1,1,INTERREGIONAL_TRANSPORT,RANK_STABLE_ONLY
2,Abuja,North Central,1,1,INTERREGIONAL_TRANSPORT,RANK_STABLE_ONLY
4,Akwa Ibom,South South,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
5,Anambra,South East,1,1,INTERREGIONAL_TRANSPORT,RANK_STABLE_ONLY
7,Bayelsa,South South,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
10,Cross River,South South,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
11,Delta,South South,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
13,Edo,South South,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
15,Enugu,South East,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
16,Gombe,North East,1,1,INTERREGIONAL_TRANSPORT,RANK_STABLE_ONLY
19,Kaduna,North West,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
24,Kwara,North Central,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
26,Nasarawa,North Central,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
31,Oyo,South West,1,1,INTERREGIONAL_TRANSPORT,RANK_STABLE_ONLY
35,Taraba,North East,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
36,Yobe,North East,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
37,Zamfara,North West,1,1,LOCAL_MOBILITY,RANK_STABLE_ONLY
