jurisdiction,observation_month,release_month,price_ngn,cylinder_size_kg,source_file,source_sheet,source_cell_reference,source_period_label
Katsina,2025-01-01,2025-01-01,17400.00,12.5,GAS_PRICE_WATCH_JAN_2025.xlsx,LPG JAN 2025,L22,Average of Jan-25
Katsina,2025-02-01,2025-02-01,17550.00,12.5,GAS_PRICE_WATCH_FEB_2025.xlsx,LPG FEB 2025,L22,Average of Feb-25
Katsina,2025-03-01,2025-03-01,18395.86,12.5,GAS_PRICE_WATCH_MARCH_2025.xlsx,LPG MAR 2025,L22,Average of Mar-25
Katsina,2025-04-01,2025-04-01,18193.81,12.5,GAS_PRICE_WATCH_APRIL_2025.xlsx,LPG APR 2025,L22,Average of Apr-25
Katsina,2025-05-01,2025-05-01,19111.51,12.5,GAS_PRICE_WATCH_May_2025.xlsx,LPG MAY 2025,L22,Average of May-25
Katsina,2025-06-01,2025-06-01,20168.76,12.5,GAS_PRIC_WATCH_JUNE_2025.xlsx,LPG JUNE 2025,L22,Average of Jun-25
Katsina,2025-07-01,2025-07-01,20050.22,12.5,LPG_July_2025.zip,LPG_JULY_2025,L22,Average of Jul-25
Katsina,2025-08-01,2025-08-01,16363.04,12.5,LPG_AUGUST_2025.zip,LPG AUGUST 2025,L22,Average of Aug-25
Katsina,2025-09-01,2025-09-01,16200.16,12.5,LPG_Report_Sept_2025.zip,LPG_SEPTEMBER_2025,L22,Average of Sept-25
Katsina,2025-10-01,2025-10-01,18532.39,12.5,LPG_Report_OCT_25.zip,LPG OCTOBER_2025,L22,Average of Oct-25
Katsina,2025-11-01,2025-11-01,12319.66,12.5,LPG_Nov_Dec_2025.zip,LPG NOVEMBER 2025,L22,Average of Nov-25
Katsina,2025-12-01,2025-12-01,12139.49,12.5,LPG_Nov_Dec_2025.zip,LPG DECEMBER 2025,L22,Average of Dec-25
Katsina,2026-01-01,2026-01-01,12534.50,12.5,LPG_Report_Report_Jan2026.zip,LPG JANUARY 2026,L22,Average of Jan-26
Katsina,2026-02-01,2026-02-01,16268.35,12.5,LPG_Report_Feb-March_2026.zip,LPG FEBRUARY 2026,N22,Average of Feb-26
Katsina,2026-03-01,2026-03-01,21703.26,12.5,LPG_Report_Feb-March_2026.zip,Sheet1,N22,Average of Mar-26
Katsina,2026-04-01,2026-04-01,25596.71,12.5,LPG_Report_APR26.zip,Sheet1,N22,Average of Apr-26
Nasarawa,2025-01-01,2025-01-01,15880.00,12.5,GAS_PRICE_WATCH_JAN_2025.xlsx,LPG JAN 2025,L8,Average of Jan-25
Nasarawa,2025-02-01,2025-02-01,16250.00,12.5,GAS_PRICE_WATCH_FEB_2025.xlsx,LPG FEB 2025,L8,Average of Feb-25
Nasarawa,2025-03-01,2025-03-01,15661.30,12.5,GAS_PRICE_WATCH_MARCH_2025.xlsx,LPG MAR 2025,L8,Average of Mar-25
Nasarawa,2025-04-01,2025-04-01,18106.85,12.5,GAS_PRICE_WATCH_APRIL_2025.xlsx,LPG APR 2025,L8,Average of Apr-25
Nasarawa,2025-05-01,2025-05-01,19122.87,12.5,GAS_PRICE_WATCH_May_2025.xlsx,LPG MAY 2025,L8,Average of May-25
Nasarawa,2025-06-01,2025-06-01,20940.26,12.5,GAS_PRIC_WATCH_JUNE_2025.xlsx,LPG JUNE 2025,L8,Average of Jun-25
Nasarawa,2025-07-01,2025-07-01,20000.62,12.5,LPG_July_2025.zip,LPG_JULY_2025,L8,Average of Jul-25
Nasarawa,2025-08-01,2025-08-01,15765.24,12.5,LPG_AUGUST_2025.zip,LPG AUGUST 2025,L8,Average of Aug-25
Nasarawa,2025-09-01,2025-09-01,15609.67,12.5,LPG_Report_Sept_2025.zip,LPG_SEPTEMBER_2025,L8,Average of Sept-25
Nasarawa,2025-10-01,2025-10-01,18754.96,12.5,LPG_Report_OCT_25.zip,LPG OCTOBER_2025,L8,Average of Oct-25
Nasarawa,2025-11-01,2025-11-01,13446.53,12.5,LPG_Nov_Dec_2025.zip,LPG NOVEMBER 2025,L8,Average of Nov-25
Nasarawa,2025-12-01,2025-12-01,13514.48,12.5,LPG_Nov_Dec_2025.zip,LPG DECEMBER 2025,L8,Average of Dec-25
Nasarawa,2026-01-01,2026-01-01,14029.90,12.5,LPG_Report_Report_Jan2026.zip,LPG JANUARY 2026,L8,Average of Jan-26
Nasarawa,2026-02-01,2026-02-01,17601.70,12.5,LPG_Report_Feb-March_2026.zip,LPG FEBRUARY 2026,N8,Average of Feb-26
Nasarawa,2026-03-01,2026-03-01,23418.12,12.5,LPG_Report_Feb-March_2026.zip,Sheet1,N8,Average of Mar-26
Nasarawa,2026-04-01,2026-04-01,23629.26,12.5,LPG_Report_APR26.zip,Sheet1,N8,Average of Apr-26
Yobe,2025-01-01,2025-01-01,19400.00,12.5,GAS_PRICE_WATCH_JAN_2025.xlsx,LPG JAN 2025,L17,Average of Jan-25
Yobe,2025-02-01,2025-02-01,19000.00,12.5,GAS_PRICE_WATCH_FEB_2025.xlsx,LPG FEB 2025,L17,Average of Feb-25
Yobe,2025-03-01,2025-03-01,17066.00,12.5,GAS_PRICE_WATCH_MARCH_2025.xlsx,LPG MAR 2025,L17,Average of Mar-25
Yobe,2025-04-01,2025-04-01,18488.67,12.5,GAS_PRICE_WATCH_APRIL_2025.xlsx,LPG APR 2025,L17,Average of Apr-25
Yobe,2025-05-01,2025-05-01,18500.00,12.5,GAS_PRICE_WATCH_May_2025.xlsx,LPG MAY 2025,L17,Average of May-25
Yobe,2025-06-01,2025-06-01,19000.00,12.5,GAS_PRIC_WATCH_JUNE_2025.xlsx,LPG JUNE 2025,L17,Average of Jun-25
Yobe,2025-07-01,2025-07-01,19030.00,12.5,LPG_July_2025.zip,LPG_JULY_2025,L17,Average of Jul-25
Yobe,2025-08-01,2025-08-01,16887.42,12.5,LPG_AUGUST_2025.zip,LPG AUGUST 2025,L17,Average of Aug-25
Yobe,2025-09-01,2025-09-01,16748.79,12.5,LPG_Report_Sept_2025.zip,LPG_SEPTEMBER_2025,L17,Average of Sept-25
