observation_month,juris,min_v,median_v,max_v,range_ngn,cv_pct
2025-01-01,37,15880.00,17516.67,19400.00,3520.00,4.92
2025-02-01,37,15750.00,17550.00,19000.00,3250.00,4.77
2025-03-01,37,15661.30,18331.34,20964.79,5303.49,7.58
2025-04-01,37,18080.27,20193.08,22938.73,4858.46,6.93
2025-05-01,37,18500.00,20489.10,23356.46,4856.46,6.26
2025-06-01,37,19000.00,20719.27,23108.44,4108.44,5.10
2025-07-01,37,19030.00,20298.25,22528.39,3498.39,4.24
2025-08-01,37,15102.50,16321.09,16887.42,1784.92,3.13
2025-09-01,37,15042.83,16205.34,16854.11,1811.28,2.99
2025-10-01,37,17610.88,18739.88,19391.57,1780.68,2.42
2025-11-01,37,12175.09,13510.39,14989.92,2814.83,5.30
2025-12-01,37,12139.49,13420.26,14489.96,2350.47,4.67
2026-01-01,37,12229.66,13472.83,14732.19,2502.52,4.80
2026-02-01,37,14635.00,17099.16,19053.17,4418.17,5.48
2026-03-01,37,15738.50,19272.52,23418.12,7679.61,9.87
2026-04-01,37,19564.36,22373.80,25596.71,6032.35,6.07
