date,year,month_number,month_label,year_month,month_index,in_primary_window
2025-01-01,2025,1,Jan 2025,2025-01,24301,False
2025-02-01,2025,2,Feb 2025,2025-02,24302,True
2025-03-01,2025,3,Mar 2025,2025-03,24303,True
2025-04-01,2025,4,Apr 2025,2025-04,24304,True
2025-05-01,2025,5,May 2025,2025-05,24305,True
2025-06-01,2025,6,Jun 2025,2025-06,24306,True
2025-07-01,2025,7,Jul 2025,2025-07,24307,True
2025-08-01,2025,8,Aug 2025,2025-08,24308,True
2025-09-01,2025,9,Sep 2025,2025-09,24309,True
2025-10-01,2025,10,Oct 2025,2025-10,24310,True
2025-11-01,2025,11,Nov 2025,2025-11,24311,True
2025-12-01,2025,12,Dec 2025,2025-12,24312,True
2026-01-01,2026,1,Jan 2026,2026-01,24313,True
2026-02-01,2026,2,Feb 2026,2026-02,24314,True
2026-03-01,2026,3,Mar 2026,2026-03,24315,True
2026-04-01,2026,4,Apr 2026,2026-04,24316,True
2026-05-01,2026,5,May 2026,2026-05,24317,False
2026-06-01,2026,6,Jun 2026,2026-06,24318,False
2026-07-01,2026,7,Jul 2026,2026-07,24319,False
