jurisdiction,zone,country_half,jurisdiction_type
Abia,South East,South,State
Abuja,North Central,North,Federal Capital Territory
Adamawa,North East,North,State
Akwa Ibom,South South,South,State
Anambra,South East,South,State
Bauchi,North East,North,State
Bayelsa,South South,South,State
Benue,North Central,North,State
Borno,North East,North,State
Cross River,South South,South,State
Delta,South South,South,State
Ebonyi,South East,South,State
Edo,South South,South,State
Ekiti,South West,South,State
Enugu,South East,South,State
Gombe,North East,North,State
Imo,South East,South,State
Jigawa,North West,North,State
Kaduna,North West,North,State
Kano,North West,North,State
Katsina,North West,North,State
Kebbi,North West,North,State
Kogi,North Central,North,State
Kwara,North Central,North,State
Lagos,South West,South,State
Nasarawa,North Central,North,State
Niger,North Central,North,State
Ogun,South West,South,State
Ondo,South West,South,State
Osun,South West,South,State
Oyo,South West,South,State
Plateau,North Central,North,State
Rivers,South South,South,State
Sokoto,North West,North,State
Taraba,North East,North,State
Yobe,North East,North,State
Zamfara,North West,North,State
