metric_code,observation_month,jurisdictions_flagged_extreme
DIESEL_PRICE_NGN_PER_LITRE,2026-03-01,1
DIESEL_PRICE_NGN_PER_LITRE,2026-04-01,25
LPG_REFILL_12_5KG_NGN,2025-11-01,13
LPG_REFILL_12_5KG_NGN,2026-02-01,6
LPG_REFILL_12_5KG_NGN,2026-03-01,6
LPG_REFILL_12_5KG_NGN,2026-04-01,1
LPG_REFILL_5KG_NGN,2025-10-01,4
LPG_REFILL_5KG_NGN,2025-11-01,20
LPG_REFILL_5KG_NGN,2026-02-01,1
LPG_REFILL_5KG_NGN,2026-03-01,1
PETROL_PRICE_NGN_PER_LITRE,2025-04-01,1
PETROL_PRICE_NGN_PER_LITRE,2025-05-01,6
PETROL_PRICE_NGN_PER_LITRE,2026-03-01,11
PETROL_PRICE_NGN_PER_LITRE,2026-04-01,8
TRANSPORT_AIR_NGN_PER_JOURNEY,2025-12-01,26
TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,2025-04-01,2
TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,2025-12-01,1
TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,2026-02-01,2
TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,2026-03-01,21
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,2025-04-01,1
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,2025-12-01,7
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,2026-01-01,1
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,2026-02-01,3
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,2026-03-01,14
TRANSPORT_OKADA_NGN_PER_JOURNEY,2025-03-01,3
TRANSPORT_OKADA_NGN_PER_JOURNEY,2025-04-01,2
TRANSPORT_OKADA_NGN_PER_JOURNEY,2025-05-01,1
TRANSPORT_OKADA_NGN_PER_JOURNEY,2025-08-01,1
TRANSPORT_OKADA_NGN_PER_JOURNEY,2025-10-01,6
TRANSPORT_OKADA_NGN_PER_JOURNEY,2025-12-01,5
TRANSPORT_OKADA_NGN_PER_JOURNEY,2026-01-01,3
TRANSPORT_OKADA_NGN_PER_JOURNEY,2026-02-01,2
TRANSPORT_OKADA_NGN_PER_JOURNEY,2026-03-01,3
TRANSPORT_WATER_NGN_PER_JOURNEY,2025-03-01,2
TRANSPORT_WATER_NGN_PER_JOURNEY,2025-04-01,1
TRANSPORT_WATER_NGN_PER_JOURNEY,2025-05-01,1
TRANSPORT_WATER_NGN_PER_JOURNEY,2025-10-01,4
TRANSPORT_WATER_NGN_PER_JOURNEY,2025-11-01,3
TRANSPORT_WATER_NGN_PER_JOURNEY,2025-12-01,11
TRANSPORT_WATER_NGN_PER_JOURNEY,2026-01-01,2
TRANSPORT_WATER_NGN_PER_JOURNEY,2026-03-01,2
