window,metric_code,label,jurisdictions,median_pct_change,total_cost_impact_pp_per_1pp_share,note
PRIMARY_WINDOW_2025_02_to_2026_04,DIESEL_PRICE_NGN_PER_LITRE,Diesel (NGN/l),37,65.96,0.6596,
PRIMARY_WINDOW_2025_02_to_2026_04,LPG_REFILL_12_5KG_NGN,LPG 12.5kg refill (NGN),37,27.38,0.2738,
PRIMARY_WINDOW_2025_02_to_2026_04,LPG_REFILL_5KG_NGN,LPG 5kg refill (NGN),37,24.35,0.2435,
PRIMARY_WINDOW_2025_02_to_2026_04,PETROL_PRICE_NGN_PER_LITRE,Petrol (NGN/l),37,33.25,0.3325,
PRIMARY_WINDOW_2025_02_to_2026_04,TRANSPORT_AIR_NGN_PER_JOURNEY,Air (NGN),37,21.8,0.218,
PRIMARY_WINDOW_2025_02_to_2026_04,TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,Bus intercity (NGN),37,29.9,0.299,
PRIMARY_WINDOW_2025_02_to_2026_04,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,Bus intracity (NGN),37,49.32,0.4932,
PRIMARY_WINDOW_2025_02_to_2026_04,TRANSPORT_OKADA_NGN_PER_JOURNEY,Okada (NGN),37,65.12,0.6512,
PRIMARY_WINDOW_2025_02_to_2026_04,TRANSPORT_WATER_NGN_PER_JOURNEY,Water transport (NGN),37,42.86,0.4286,
TROUGH_TO_LATEST_2025_09_to_2026_05,DIESEL_PRICE_NGN_PER_LITRE,Diesel (NGN/l),37,158.16,1.5816,
TROUGH_TO_LATEST_2025_09_to_2026_05,LPG_REFILL_12_5KG_NGN,LPG 12.5kg refill (NGN),0,,,series does not cover this window
TROUGH_TO_LATEST_2025_09_to_2026_05,LPG_REFILL_5KG_NGN,LPG 5kg refill (NGN),0,,,series does not cover this window
TROUGH_TO_LATEST_2025_09_to_2026_05,PETROL_PRICE_NGN_PER_LITRE,Petrol (NGN/l),37,65.35,0.6535,
TROUGH_TO_LATEST_2025_09_to_2026_05,TRANSPORT_AIR_NGN_PER_JOURNEY,Air (NGN),37,18.69,0.1869,
TROUGH_TO_LATEST_2025_09_to_2026_05,TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,Bus intercity (NGN),37,22.05,0.2205,
TROUGH_TO_LATEST_2025_09_to_2026_05,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,Bus intracity (NGN),37,36.97,0.3697,
TROUGH_TO_LATEST_2025_09_to_2026_05,TRANSPORT_OKADA_NGN_PER_JOURNEY,Okada (NGN),37,42.51,0.4251,
TROUGH_TO_LATEST_2025_09_to_2026_05,TRANSPORT_WATER_NGN_PER_JOURNEY,Water transport (NGN),37,26.3,0.263,
