state_name,zone_name,modes_cheap,modes
Abia,South East,2,Bus intracity (NGN); Water transport (NGN)
Adamawa,North East,2,Bus intracity (NGN); Okada (NGN)
Anambra,South East,2,Okada (NGN); Water transport (NGN)
Sokoto,North West,2,Bus intracity (NGN); Okada (NGN)
Abuja,North Central,1,Water transport (NGN)
Borno,North East,1,Water transport (NGN)
Edo,South South,1,Okada (NGN)
Gombe,North East,1,Water transport (NGN)
Ekiti,South West,1,Okada (NGN)
Kano,North West,1,Bus intracity (NGN)
Kebbi,North West,1,Water transport (NGN)
Rivers,South South,1,Bus intracity (NGN)
Taraba,North East,1,Water transport (NGN)
