state_name,zone_name,modes_dear,modes
Ondo,South West,3,Bus intracity (NGN); Okada (NGN); Water transport (NGN)
Lagos,South West,3,Bus intracity (NGN); Okada (NGN); Water transport (NGN)
Rivers,South South,2,Okada (NGN); Water transport (NGN)
Ogun,South West,2,Okada (NGN); Water transport (NGN)
Akwa Ibom,South South,1,Water transport (NGN)
Bayelsa,South South,1,Water transport (NGN)
Cross River,South South,1,Water transport (NGN)
Delta,South South,1,Water transport (NGN)
Edo,South South,1,Water transport (NGN)
Kwara,North Central,1,Bus intracity (NGN)
Kaduna,North West,1,Okada (NGN)
Imo,South East,1,Okada (NGN)
Enugu,South East,1,Bus intracity (NGN)
Nasarawa,North Central,1,Bus intracity (NGN)
Taraba,North East,1,Bus intracity (NGN)
Yobe,North East,1,Okada (NGN)
Zamfara,North West,1,Bus intracity (NGN)
