observation_month,diesel_ngn_per_litre,genset_kwh_per_litre,self_gen_ngn_per_kwh,band_a_reference_ngn_per_kwh,reference_period,multiple_of_reference_tariff
2025-09-01,1266.33,2.5,506.53,209.5,NERC July 2025 cross-section,2.42
2025-09-01,1266.33,3.0,422.11,209.5,NERC July 2025 cross-section,2.01
2025-09-01,1266.33,3.5,361.81,209.5,NERC July 2025 cross-section,1.73
2025-09-01,1266.33,4.0,316.58,209.5,NERC July 2025 cross-section,1.51
2026-04-01,2472.04,2.5,988.82,209.5,NERC July 2025 cross-section,4.72
2026-04-01,2472.04,3.0,824.01,209.5,NERC July 2025 cross-section,3.93
2026-04-01,2472.04,3.5,706.3,209.5,NERC July 2025 cross-section,3.37
2026-04-01,2472.04,4.0,618.01,209.5,NERC July 2025 cross-section,2.95
2026-05-01,3249.96,2.5,1299.98,209.5,NERC July 2025 cross-section,6.21
2026-05-01,3249.96,3.0,1083.32,209.5,NERC July 2025 cross-section,5.17
2026-05-01,3249.96,3.5,928.56,209.5,NERC July 2025 cross-section,4.43
2026-05-01,3249.96,4.0,812.49,209.5,NERC July 2025 cross-section,3.88
